,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,186.3740313,186.3740313,139.7124899,139.7124899,83.21994483,83.21994483,36.60016232,36.60016232,28.09751749,28.09751749,36.39243916,36.39243916
0.02,579.66724,579.66724,355.1316843,355.1316843,185.7147013,185.7147013,84.40032705,84.40032705,62.91147186,62.91147186,54.19200007,54.19200007
0.03,1261.229845,1261.229845,647.8269465,647.8269465,306.9711503,306.9711503,141.8280558,141.8280558,102.1954419,102.1954419,70.43945511,70.43945511
0.04,2132.263901,2132.263901,1020.296759,1020.296759,446.2861017,446.2861017,208.1554181,208.1554181,145.2657389,145.2657389,86.40692042,86.40692042
0.05,3166.967772,3166.967772,1461.657237,1461.657237,603.5149849,603.5149849,283.0636787,283.0636787,191.7899355,191.7899355,102.6208689,102.6208689
0.06,4400.519951,4400.519951,1958.233375,1958.233375,778.8021355,778.8021355,366.4283709,366.4283709,241.5820147,241.5820147,119.3993137,119.3993137
0.07,4745,4745,2501.279845,2501.279845,972.4209276,972.4209276,458.2376586,458.2376586,294.5333565,294.5333565,136.9855956,136.9855956
0.08,4745,4745,3093.643395,3093.643395,1184.735915,1184.735915,558.5539101,558.5539101,350.5823133,350.5823133,155.5987723,155.5987723
0.09,4745,4745,3741.090632,3741.090632,1416.205821,1416.205821,667.4931548,667.4931548,409.6985692,409.6985692,175.4590667,175.4590667
0.1,4745,4745,4450.061143,4450.061143,1667.36748,1667.36748,785.0430726,785.0430726,471.8742488,471.8742488,196.8049128,196.8049128
0.11,4745,4745,4745,4745,1938.827756,1938.827756,910.1340175,910.1340175,537.1184927,537.1184927,219.9079585,219.9079585
0.12,4745,4745,4745,4745,2231.38661,2231.38661,1041.341973,1041.341973,605.4539745,605.4539745,245.0894776,245.0894776
0.13,4745,4745,4745,4745,2546.136215,2546.136215,1177.415616,1177.415616,676.9145821,676.9145821,272.7411044,272.7411044
0.14,4745,4745,4745,4745,2884.292693,2884.292693,1317.321023,1317.321023,751.5094757,751.5094757,303.353502,303.353502
0.15,4745,4745,4745,4745,3247.182175,3247.182175,1460.237118,1460.237118,828.8698019,828.8698019,337.5585797,337.5585797
0.16,4745,4745,4745,4745,3636.246265,3636.246265,1605.528798,1605.528798,908.4173403,908.4173403,376.1951164,376.1951164
0.17,4745,4745,4745,4745,4053.049068,4053.049068,1752.713785,1752.713785,989.6390202,989.6390202,420.4138156,420.4138156
0.18,4745,4745,4745,4745,4499.285656,4499.285656,1901.431122,1901.431122,1072.104132,1072.104132,471.3341577,471.3341577
0.19,4745,4745,4745,4745,4745,4745,2051.435544,2051.435544,1155.464335,1155.464335,529.0032643,529.0032643
0.2,4745,4745,4745,4745,4745,4745,2202.921052,2202.921052,1239.446158,1239.446158,592.5932581,592.5932581
0.21,4745,4745,4745,4745,4745,4745,2356.373338,2356.373338,1323.840317,1323.840317,660.6229221,660.6229221
0.22,4745,4745,4745,4745,4745,4745,2512.225408,2512.225408,1408.490501,1408.490501,731.3794714,731.3794714
0.23,4745,4745,4745,4745,4745,4745,2670.869391,2670.869391,1493.283056,1493.283056,803.339745,803.339745
0.24,4745,4745,4745,4745,4745,4745,2832.672625,2832.672625,1578.138106,1578.138106,875.3779818,875.3779818
0.25,4745,4745,4745,4745,4745,4745,2997.988916,2997.988916,1663.002253,1663.002253,946.7700977,946.7700977
0.26,4745,4745,4745,4745,4745,4745,3167.166851,3167.166851,1747.842708,1747.842708,1017.104032,1017.104032
0.27,4745,4745,4745,4745,4745,4745,3340.556299,3340.556299,1832.642826,1832.642826,1086.178871,1086.178871
0.28,4745,4745,4745,4745,4745,4745,3518.513776,3518.513776,1917.453996,1917.453996,1153.925346,1153.925346
0.29,4745,4745,4745,4745,4745,4745,3701.407137,3701.407137,2002.459588,2002.459588,1220.351718,1220.351718
0.3,4745,4745,4745,4745,4745,4745,3889.619877,3889.619877,2087.84023,2087.84023,1285.509543,1285.509543
0.31,4745,4745,4745,4745,4745,4745,4083.555288,4083.555288,2173.757582,2173.757582,1349.472889,1349.472889
0.32,4745,4745,4745,4745,4745,4745,4283.640633,4283.640633,2260.359597,2260.359597,1412.326046,1412.326046
0.33,4745,4745,4745,4745,4745,4745,4490.331474,4490.331474,2347.784398,2347.784398,1474.156429,1474.156429
0.34,4745,4745,4745,4745,4745,4745,4704.116298,4704.116298,2436.163233,2436.163233,1535.050604,1535.050604
0.35,4745,4745,4745,4745,4745,4745,4745,4745,2525.622791,2525.622791,1595.104208,1595.104208
0.36,4745,4745,4745,4745,4745,4745,4745,4745,2616.287075,2616.287075,1654.516914,1654.516914
0.37,4745,4745,4745,4745,4745,4745,4745,4745,2708.278966,2708.278966,1713.512677,1713.512677
0.38,4745,4745,4745,4745,4745,4745,4745,4745,2801.721568,2801.721568,1772.276746,1772.276746
0.39,4745,4745,4745,4745,4745,4745,4745,4745,2896.739398,2896.739398,1830.966346,1830.966346
0.4,4745,4745,4745,4745,4745,4745,4745,4745,2993.459481,2993.459481,1889.718499,1889.718499
0.41,4745,4745,4745,4745,4745,4745,4745,4745,3092.012378,3092.012378,1948.655498,1948.655498
0.42,4745,4745,4745,4745,4745,4745,4745,4745,3192.533194,3192.533194,2007.888884,2007.888884
0.43,4745,4745,4745,4745,4745,4745,4745,4745,3295.162567,3295.162567,2067.522414,2067.522414
0.44,4745,4745,4745,4745,4745,4745,4745,4745,3400.047688,3400.047688,2127.654347,2127.654347
0.45,4745,4745,4745,4745,4745,4745,4745,4745,3507.34336,3507.34336,2188.379262,2188.379262
