,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,980.1696078,980.1696078,225.1981686,225.1981686,192.1108247,192.1108247,84.28342724,84.28342724,58.5606869,58.5606869,39.1594633,39.1594633
0.02,1542.509697,1542.509697,437.9744624,437.9744624,352.8350195,352.8350195,155.2679546,155.2679546,108.9453609,108.9453609,66.04139715,66.04139715
0.03,2008.618756,2008.618756,656.651618,656.651618,504.6853174,504.6853174,224.7385838,224.7385838,157.5096735,157.5096735,91.23029115,91.23029115
0.04,2424.585229,2424.585229,882.3748748,882.3748748,651.6322577,651.6322577,293.8017934,293.8017934,204.8421189,204.8421189,115.6219119,115.6219119
0.05,2817.7114,2817.7114,1115.487601,1115.487601,795.5734734,795.5734734,362.9272869,362.9272869,251.2973093,251.2973093,139.5750069,139.5750069
0.06,3204.464528,3204.464528,1356.151771,1356.151771,937.6234358,937.6234358,432.3798114,432.3798114,297.1181934,297.1181934,163.2810486,163.2810486
0.07,3595.200651,3595.200651,1604.478488,1604.478488,1078.515961,1078.515961,502.3328464,502.3328464,342.4822067,342.4822067,186.8589269,186.8589269
0.08,3993.833694,3993.833694,1858.296592,1858.296592,1218.772274,1218.772274,572.9117676,572.9117676,387.5249223,387.5249223,210.3899556,210.3899556
0.09,4399.764043,4399.764043,2109.970306,2109.970306,1358.783679,1358.783679,644.2138301,644.2138301,432.3536514,432.3536514,233.9336966,233.9336966
0.1,4745,4745,2354.129976,2354.129976,1498.856871,1498.856871,716.3186824,716.3186824,477.0558347,477.0558347,257.5361134,257.5361134
0.11,4745,4745,2588.424512,2588.424512,1639.240813,1639.240813,789.294424,789.294424,521.7044945,521.7044945,281.2341802,281.2341802
0.12,4745,4745,2812.295939,2812.295939,1780.143644,1780.143644,863.2013424,863.2013424,566.3619262,566.3619262,305.0586774,305.0586774
0.13,4745,4745,3026.078066,3026.078066,1921.605494,1921.605494,938.0943476,938.0943476,611.082283,611.082283,329.0359812,329.0359812
0.14,4745,4745,3230.483288,3230.483288,2062.951782,2062.951782,1014.024629,1014.024629,655.9134389,655.9134389,353.1892632,353.1892632
0.15,4745,4745,3426.371329,3426.371329,2203.440598,2203.440598,1091.040832,1091.040832,700.898365,700.898365,377.5393227,377.5393227
0.16,4745,4745,3615.477722,3615.477722,2342.534923,2342.534923,1169.189913,1169.189913,746.0761684,746.0761684,402.105185,402.105185
0.17,4745,4745,3800.09884,3800.09884,2479.872202,2479.872202,1248.517791,1248.517791,791.4828926,791.4828926,426.9045423,426.9045423
0.18,4745,4745,3981.954373,3981.954373,2615.228595,2615.228595,1329.069855,1329.069855,837.1521447,837.1521447,451.9540868,451.9540868
0.19,4745,4745,4162.376171,4162.376171,2748.485414,2748.485414,1410.891362,1410.891362,883.1155954,883.1155954,477.2697693,477.2697693
0.2,4745,4745,4342.460985,4342.460985,2879.600815,2879.600815,1494.026219,1494.026219,929.4033839,929.4033839,502.8670029,502.8670029
0.21,4745,4745,4523.16197,4523.16197,3008.587417,3008.587417,1578.368583,1578.368583,976.0444509,976.0444509,528.7608284,528.7608284
