,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,38.76833757,38.76833757,30.65880243,30.65880243,19.29482767,19.29482767,15.15014643,15.15014643,7.45883346,7.45883346,15.24260638,15.24260638
0.02,71.18069538,71.18069538,56.60083282,56.60083282,33.91506328,33.91506328,26.88051264,26.88051264,13.14066374,13.14066374,21.31004885,21.31004885
0.03,109.0719923,109.0719923,83.58226219,83.58226219,48.72081163,48.72081163,38.8211526,38.8211526,18.97707723,18.97707723,26.52282342,26.52282342
0.04,156.0908514,156.0908514,112.1229263,112.1229263,64.18374153,64.18374153,51.32032465,51.32032465,25.15824181,25.15824181,31.42726132,31.42726132
0.05,217.0481497,217.0481497,142.4421127,142.4421127,80.5116553,80.5116553,64.52999461,64.52999461,31.77549043,31.77549043,36.23403015,36.23403015
0.06,296.1713325,296.1713325,174.6795164,174.6795164,97.83877098,97.83877098,78.54755513,78.54755513,38.89415536,38.89415536,41.05829321,41.05829321
0.07,395.6114922,395.6114922,208.9475456,208.9475456,116.2726595,116.2726595,93.45057935,93.45057935,46.57158481,46.57158481,45.97818801,45.97818801
0.08,515.2872584,515.2872584,245.3487619,245.3487619,135.9110428,135.9110428,109.3091531,109.3091531,54.86374633,54.86374633,51.05600443,51.05600443
0.09,655.0937681,655.0937681,283.949326,283.949326,156.8492865,156.8492865,126.1913041,126.1913041,63.82835869,63.82835869,56.3480353,56.3480353
0.1,816.7613874,816.7613874,324.7530483,324.7530483,179.1843506,179.1843506,144.1658059,144.1658059,73.52674395,73.52674395,61.91029484,61.91029484
0.11,1002.312383,1002.312383,367.7568451,367.7568451,203.0172054,203.0172054,163.3038423,163.3038423,84.02516725,84.02516725,67.8027143,67.8027143
0.12,1213.955168,1213.955168,412.958561,412.958561,228.4545305,228.4545305,183.6801344,183.6801344,95.39598355,95.39598355,74.09303921,74.09303921
0.13,1454.098843,1454.098843,460.3578679,460.3578679,255.6100737,255.6100737,205.3738017,205.3738017,107.7187463,107.7187463,80.86123805,80.86123805
0.14,1725.370007,1725.370007,509.9568065,509.9568065,284.5745515,284.5745515,228.4690974,228.4690974,121.0813661,121.0813661,88.20523447,88.20523447
0.15,2030.631794,2030.631794,561.760119,561.760119,315.2908313,315.2908313,253.0560884,253.0560884,135.5813809,135.5813809,96.24909685,96.24909685
0.16,2372.998377,2372.998377,615.7754521,615.7754521,347.6392067,347.6392067,279.2313267,279.2313267,151.327387,151.327387,105.1556001,105.1556001
0.17,2755.819893,2755.819893,672.0134842,672.0134842,381.4856421,381.4856421,307.0982475,307.0982475,168.4406808,168.4406808,115.1422141,115.1422141
0.18,3182.719063,3182.719063,730.4880031,730.4880031,416.6912126,416.6912126,336.6817959,336.6817959,187.0571644,187.0571644,126.4319753,126.4319753
