,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318,38.06104318
0.02,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459,61.49034459
0.03,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853,82.7224853
0.04,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434,102.8235434
0.05,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902,122.2250902
0.06,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792,141.1579792
0.07,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173,159.7650173
0.08,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367,178.1430367
0.09,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564,196.3620564
0.1,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094,214.4752094
0.11,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781,232.5243781
0.12,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214,250.5436214
0.13,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736,268.5613736
0.14,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171,286.6019171
0.15,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406,304.686406
0.16,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981,322.8335981
0.17,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932,341.0603932
0.18,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382,359.3822382
0.19,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375,377.8134375
0.2,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966,396.3673966
0.21,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156,415.0568156
0.22,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409,433.8950409
0.23,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381,452.9191381
0.24,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108,472.1871108
0.25,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891,491.7563891
0.26,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564,511.6843564
0.27,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179,532.0296179
0.28,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993,552.8531993
0.29,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534,574.2197534
0.3,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847,596.198847
0.31,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005,618.8664005
0.32,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621,642.3063621
0.33,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189,666.6127189
0.34,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796,691.8919796
0.35,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311,718.266311
0.36,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918,745.8775918
0.37,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641,774.8927641
0.38,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607,805.5110607
0.39,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085,837.9740085
0.4,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552,872.5796552
0.41,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225,909.6855225
0.42,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877,949.5635877
0.43,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888,992.4072888
0.44,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072,1038.385072
0.45,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369,1087.626369
0.46,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195,1140.206195
0.47,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142,1196.13142
0.48,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621,1255.331621
0.49,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199,1317.657199
0.5,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265,1382.886265
0.51,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806,1450.739806
0.52,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625,1520.902625
0.53,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307,1593.046307
0.54,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455,1666.850455
0.55,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476,1742.019476
0.56,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729,1818.293729
0.57,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206,1895.455206
0.58,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778,1973.328778
0.59,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348,2051.780348
0.6,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202,2130.713202
0.61,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544,2210.063544
0.62,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784,2289.822784
0.63,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145,2370.207145
0.64,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604,2451.512604
0.65,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409,2534.015409
0.66,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388,2617.981388
0.67,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737,2703.673737
0.68,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494,2791.359494
0.69,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347,2881.315347
0.7,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167,2973.833167
0.71,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647,3069.225647
0.72,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325,3167.832325
0.73,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299,3270.026299
0.74,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976,3376.221976
0.75,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228,3486.884228
0.76,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466,3602.539466
0.77,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247,3723.789247
0.78,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282,3851.327282
0.79,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997,3985.960997
0.8,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928,4128.63928
0.81,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717,4280.488717
0.82,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683,4442.861683
0.83,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789,4617.387789
0.84,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.85,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.86,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.87,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.88,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.89,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.9,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.91,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.92,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.93,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.94,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.95,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.96,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.97,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.98,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.99,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
