,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,15.78301311,20.23055289,18.08708868,14.99026521,12.3475742,12.48787252,9.904439963,11.74361528,8.53959572,9.43832355,8.677943672,8.98578366
0.02,27.2677116,31.59657255,28.70083308,22.61242368,18.86572356,18.26009273,15.20727681,16.06465238,12.6650912,12.98846307,11.88484539,11.78850281
0.03,39.13777594,42.51341301,38.83494652,29.72722891,25.01629532,23.47422796,20.18234683,19.75486939,16.41659771,16.02736554,14.64801895,14.08836736
0.04,51.86017867,53.67147034,49.06405753,36.82742034,31.19860743,28.54780802,25.14663081,23.1999446,20.07804124,18.86567076,17.24662817,16.17197423
0.05,65.68670174,65.39187253,59.630687,44.12023013,37.58234429,33.64713957,30.23028899,26.54523551,23.76221044,21.62022791,19.78658968,18.14463901
0.06,80.82053757,77.90151275,70.68317169,51.73339289,44.27340631,38.86668365,35.51020821,29.86676649,27.53259668,24.35175908,22.32399196,20.059484
0.07,97.45932535,91.40424289,82.33481334,59.76631616,51.35510467,44.27315626,41.04298618,33.2126495,31.43337481,27.0982525,24.89500358,21.94842568
0.08,115.81308,106.1108318,94.68552781,68.30917109,58.90349607,49.92152883,46.87690733,36.61779693,35.50022506,29.88681447,27.52651746,23.83308449
0.09,136.1151149,122.2579605,107.8319223,77.45228596,66.99487659,55.86239343,53.05743479,40.1104073,39.76523272,32.73887063,30.24086925,25.72952697
0.1,158.6311522,140.1251752,121.8730159,87.2921073,75.71046578,62.14608726,59.63024645,43.71529659,44.25953177,35.67280708,33.05829161,27.65063818
0.11,183.6562677,159.9865506,136.9141617,97.93603103,85.14011037,68.82549117,66.64323652,47.45584441,49.01498347,38.70547678,35.99838398,29.60744096
0.12,211.3253336,181.9987657,153.0702549,109.5072016,95.38585148,75.95832668,74.14807941,51.35528252,54.0654307,41.85315476,39.08112624,31.60989772
0.13,241.5720803,206.2650511,170.4687721,122.1500023,106.5658721,83.60938485,82.20164953,55.4376663,59.44779147,45.13221132,42.32768796,33.66743989
0.14,274.2503138,232.8414522,189.2529739,136.036916,118.8192647,91.85298054,90.8674686,59.72871047,65.2031438,48.55964143,45.76117191,35.78934805
0.15,309.1598974,261.7337499,209.5855259,151.373989,132.3121132,100.7758971,100.2173046,64.25660057,71.37791056,52.1535286,49.40738382,37.98505023
0.16,346.0722552,292.8996024,231.6257818,168.3325688,147.2455487,110.481128,110.3330343,69.05286354,78.02524164,55.93349347,53.29570529,40.2643783
0.17,384.7529927,326.2554267,255.4138391,187.0116004,163.8667462,121.0928277,121.3088897,74.15337378,85.20670001,59.92116457,57.46014949,42.63780897
0.18,424.9785314,361.6864639,280.9205903,207.4744995,182.4485781,132.7630837,133.2542367,79.59958035,92.9943852,64.14070416,61.94069878,45.11670897
0.19,466.546243,399.0580268,308.0807722,229.7446059,203.1316764,145.6756678,146.2970793,85.44006447,101.4736759,68.61942341,66.78506026,47.71360148
0.2,509.2791576,438.2261368,336.7994219,253.80269,225.950651,159.9810666,160.5885544,91.73257995,110.746851,73.38852695,72.05104041,50.44247085
0.21,553.0268732,479.0463634,366.9605567,279.5893584,250.8570202,175.7785238,176.297747,98.5468012,120.9379752,78.4840385,77.80985013,53.31912537
0.22,597.6641761,521.3803682,398.4364889,307.0118586,277.7223712,193.1375269,193.5166577,105.9672268,132.1996402,83.94797689,84.1508433,56.36164227
0.23,643.0885108,565.1104177,431.0963707,335.9537229,306.3556317,212.0891127,212.259625,114.07751,144.7176228,89.82988086,91.18853817,59.59092805
0.24,689.2170449,610.2341521,464.8130723,366.2852596,336.5289204,232.6202854,232.4963491,122.9522907,158.6415692,96.1883246,99.07322101,63.03143944
0.25,736.0043402,656.8142074,499.4680485,397.8731467,368.0041973,254.6740419,254.1542882,132.6679251,174.0533498,103.080296,107.9783261,66.71213125
0.26,783.508549,704.9154302,534.9542886,430.588041,400.5545876,278.1553193,277.1264246,143.3006282,190.9919377,110.5551854,118.057633,70.66758326
0.27,831.8098185,754.6047537,571.1776905,464.3098312,433.9778197,302.9414335,301.2828066,154.9232247,209.4456138,118.662762,129.4594147,74.93383972
0.28,880.9825124,805.9517612,608.0572798,498.9307008,468.102294,328.8944665,326.4831077,167.6012351,229.3503071,127.4523934,142.3144547,79.54488825
0.29,931.0973378,859.0291721,645.5246725,534.3564413,502.7878066,355.8730087,352.5877455,181.3886348,250.5964457,136.9714767,156.714834,84.53739509
0.3,982.2228939,913.9132852,683.5231001,570.5065303,537.9231333,383.7414788,379.4661234,196.3238254,273.0425463,147.2636428,172.692643,89.95098425
0.31,1034.426844,970.6844005,722.0062318,607.3134347,573.4221893,412.3763383,407.0016654,212.4264752,296.5316446,158.3668664,190.2063216,95.82795257
0.32,1087.776838,1029.427236,760.9369489,644.7214935,609.2198611,441.6693865,435.0940776,229.6958487,320.9064816,170.3116663,209.1416036,102.2127349
0.33,1142.341263,1090.231352,800.2861662,682.6856289,645.2681014,471.528789,463.6595943,248.1110104,346.0208053,183.1196113,229.3283317,109.1510641
0.34,1198.189889,1153.191588,840.0317798,721.1771246,681.5325393,501.878593,492.6299758,267.6329186,371.7460403,196.802337,250.5670973,116.688787
0.35,1255.39443,1218.408531,880.1762569,760.2325543,717.9896705,532.6573832,521.9508632,288.2080348,397.9739556,211.3612259,272.6561965,124.870333
0.36,1314.029066,1285.989006,920.7743647,799.9157334,754.6245908,563.8165564,551.5799132,309.7728083,424.6165354,226.7878039,295.4116277,133.7368887
0.37,1374.170932,1356.046612,961.8857252,840.2869772,791.4292024,595.318522,581.4849625,332.2583266,451.6042414,243.0648029,318.6777875,143.3244029
0.38,1435.900599,1428.7023,1003.56687,881.4042866,828.4008105,627.1350049,611.6423566,355.5945351,478.8835657,260.1677383,342.3303663,153.6616206
0.39,1499.302556,1504.085,1045.872339,923.3244337,865.54133,659.2455328,642.0354973,379.7136527,506.4144496,278.0667926,366.2743668,164.7683975
0.4,1564.465696,1582.332312,1088.855546,966.1038193,902.8794446,691.6361397,672.6536186,404.5526401,534.1678787,296.7287848,390.4398657,176.6545528
0.41,1631.483832,1663.591264,1132.569488,1009.799175,940.4817294,724.2992475,703.4907759,430.0547606,562.1237918,316.1190363,414.7772417,189.3194626
0.42,1700.456234,1748.01914,1177.06733,1054.468158,978.4123238,757.2610478,734.5450253,456.1703811,590.269337,336.2029959,439.2527637,202.752483
0.43,1771.488212,1835.784409,1222.402926,1100.169881,1016.730501,790.5806084,765.8177633,482.8571972,618.5974578,356.947554,463.8448868,216.9341507
0.44,1844.691732,1927.067733,1268.631279,1146.965392,1055.492137,824.3143475,797.3132024,510.0800677,647.1057662,378.322026,488.5413086,231.8379778
0.45,1920.1861,2022.063106,1315.808965,1194.918128,1094.75084,858.51542,829.0467406,537.8111626,675.7956586,400.2988281,513.3367055,247.4325806
0.46,1998.098703,2120.979105,1363.994547,1244.094367,1134.558848,893.2348917,861.0656588,566.0572781,704.6716285,422.8538914,538.2310278,263.6838663
0.47,2078.565823,2224.040293,1413.248968,1294.563666,1174.967761,928.5226594,893.4212464,594.8685717,733.7407369,445.9668677,563.2282339,280.5570487
0.48,2161.733547,2331.488783,1463.635959,1346.399329,1216.029161,964.4281957,926.1621573,624.2968895,763.0153738,469.6211821,588.3353603,298.0183395
0.49,2247.758767,2443.585989,1515.222451,1399.678874,1257.795157,1001.001177,959.3353562,654.3932637,792.536812,493.8046913,613.5618435,316.0362473
0.5,2336.810302,2560.614591,1568.079001,1454.484552,1300.318871,1038.292026,992.9868806,685.2087751,822.3580831,518.5316099,638.9190324,334.5824842
0.51,2429.070151,2682.880746,1622.280255,1510.903887,1343.654894,1076.352412,1027.162474,716.795268,852.529198,543.8448689,664.4198586,353.6325257
0.52,2524.734902,2810.716578,1677.905437,1569.030276,1387.859724,1115.235702,1061.908132,749.2059707,883.0981202,569.7893062,690.0884268,373.1658915
0.53,2624.017313,2944.482998,1735.038881,1628.963633,1432.9922,1154.997418,1097.270585,782.4960581,914.1116497,596.4106135,715.9740917,393.1714375
0.54,2727.14811,3084.572896,1793.770615,1690.811119,1479.11394,1195.695673,1133.297747,816.7231831,945.6161501,623.7558867,742.1268307,413.6767386
0.55,2834.378014,3231.414767,1854.197009,1754.687932,1526.289792,1237.391626,1170.039144,851.9479995,977.6581672,651.8741316,768.5938122,434.7248374
0.56,2945.980058,3385.47685,1916.421483,1820.718209,1574.588318,1280.149959,1207.546329,888.2346899,1010.284977,680.8167486,795.4204632,456.3593609
0.57,3062.252219,3547.271851,1980.555313,1889.036024,1624.082305,1324.039379,1245.873304,925.6515173,1043.54509,710.6380134,822.6513228,478.6251207
0.58,3183.520441,3717.362368,2046.718523,1959.786525,1674.849319,1369.133161,1285.076962,964.2714105,1077.488727,741.3955709,850.330752,501.5686954
0.59,3310.142111,3896.367121,2115.040897,2033.127209,1726.972324,1415.509748,1325.217544,1004.1726,1112.168294,773.1509551,878.5035485,525.2389773
0.6,3442.510058,4084.968155,2185.663127,2109.229386,1780.540356,1463.253408,1366.359136,1045.439313,1147.638859,805.9701481,907.2155001,549.6877094
0.61,3581.057167,4283.919176,2258.738112,2188.279841,1835.649284,1512.454968,1408.570211,1088.162554,1183.958647,839.9241913,936.513905,574.9700331
0.62,3726.249845,4494.055248,2334.432449,2270.482739,1892.402659,1563.212645,1451.924226,1132.440971,1221.189575,875.0898638,966.4480783,601.1450647
0.63,3878.571219,4716.300218,2412.928141,2356.061821,1950.912689,1615.632984,1496.500285,1178.38184,1259.397824,911.5504416,997.069863,628.2765176
0.64,4038.547752,4745,2494.424563,2445.26294,2011.301335,1669.831922,1542.383892,1226.102191,1298.654468,949.396558,1028.434161,656.4333873
0.65,4206.759892,4745,2579.140741,2538.357,2073.701572,1725.936017,1589.667801,1275.730091,1339.036187,988.7271834,1060.599499,685.6907168
