,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,21.27296085,14.54344493,24.0162426,47.61026303,27.26601871,22.02365714,24.96031104,18.18671559,24.42281597,26.89095155,23.95592864,22.28262031
0.02,33.02567015,19.45019909,40.6068341,65.4020555,41.53003998,33.46255597,38.79427979,27.69999085,37.26047796,43.44627206,35.70148046,32.80836446
0.03,43.66476564,23.3899836,56.63227528,80.06299321,54.30266364,43.65238457,51.33810771,36.17844196,48.73318814,58.7523137,45.9912186,41.94583619
0.04,53.89725614,26.87140906,72.67748017,93.35576333,66.53057139,53.36801068,63.41443132,44.2667076,59.67501882,73.52174237,55.65481516,50.49066496
0.05,63.99704143,30.08207065,88.96375665,105.9364443,78.57781216,62.91071924,75.33941013,52.23796666,70.40558998,88.02687397,65.00731756,58.74661757
0.06,74.10649115,33.11638534,105.6053063,118.1363514,90.63477632,72.43786893,87.2769953,60.23910703,81.0899792,102.4071281,74.20930656,66.86893649
0.07,84.31318561,36.03912593,122.6726081,130.1542094,102.819983,82.04722074,99.32771217,68.36531416,91.82887525,116.7459398,83.35677921,74.95107499
0.08,94.6775754,38.89777062,140.2150207,142.1240327,115.2166595,91.80725068,111.5606532,76.68723107,102.691025,131.098585,92.51348528,83.05579863
0.09,105.2451735,41.7263135,158.2706179,154.1446852,127.8888524,101.7705056,124.0275748,85.26303476,113.7275226,145.5044856,101.7251632,91.22884959
0.1,116.0526888,44.55105612,176.871066,166.2946711,140.8895444,111.9803365,136.7699844,94.14467064,124.9789921,159.9934131,111.0266895,99.50580326
0.11,127.1314203,47.39382407,196.0442818,178.6403413,154.2651695,122.4746475,149.8230586,103.3814953,136.4795586,174.5889215,120.4460248,107.9158537
0.12,138.5092808,50.27391013,215.8159905,191.2408503,168.0583302,133.288155,163.2179745,113.0226699,148.2592124,189.3103872,130.0065513,116.4840628
0.13,150.2120781,53.20937038,236.2106957,204.1513906,182.3095481,144.4538462,176.9833819,123.1189311,160.3453014,204.1742898,139.7285408,125.2327778
0.14,162.2643697,56.21798799,257.2523155,217.4254694,197.0584625,156.0039823,191.1463825,133.7240679,172.7635251,219.1950537,149.6301182,134.1825714
0.15,174.690062,59.31808303,278.9646199,231.1166435,212.3447045,167.9708318,205.7332109,144.896297,185.5386259,234.385623,159.7279224,143.352894
0.16,187.5128491,62.52928562,301.3715453,245.2799562,228.2085701,180.387241,220.7697308,156.6996686,198.6948926,249.7578669,170.0375738,152.7625449
0.17,200.7565487,65.87336822,324.4974323,259.9732301,244.6915736,193.2871054,236.2818099,169.2056089,212.2565417,265.3228743,180.5740174,162.4300276
0.18,214.4453713,69.37523537,348.3672119,275.258327,261.8369263,206.7057831,252.2956174,182.494704,226.24802,281.0911736,191.3517819,172.3738281
0.19,228.604145,73.06419674,373.0065593,291.2024598,279.6899752,220.6804765,268.8378681,196.6588399,240.6942531,297.0729006,202.3851814,182.6126423
0.2,243.2585116,76.9757077,398.4420263,307.8796379,298.2986226,235.2506034,285.9360319,211.8038449,255.6208594,313.2779299,213.6884769,193.1655688
0.21,258.4351047,81.15387632,424.7011597,325.3723311,317.7137439,250.4581702,303.6185208,228.052827,271.0543409,329.7159806,225.2760099,204.0522797
0.22,274.1617177,85.65525564,451.8080222,343.7734367,337.9896177,266.3481605,321.9148607,245.5504742,287.0222602,346.396702,237.1623164,215.2931772
0.23,290.4712907,90.55488734,479.7465298,363.1795605,359.1843778,282.9689494,340.8558558,264.4687052,303.5534088,363.3297467,249.3622256,226.9095416
0.24,307.4114536,95.95653237,508.4784812,383.6723697,381.3552163,300.3727531,360.473749,285.0142405,320.6779737,380.5248318,261.8909503,238.9236774
0.25,325.0364595,102.0113369,537.9652073,405.3342595,404.5123822,318.6161255,380.7980664,307.4389684,338.4275886,397.9917932,274.7641694,251.3590581
0.26,343.4056163,108.9554269,568.168757,428.2522881,428.633288,337.7605103,401.8240383,332.0544759,356.8206416,415.7397381,287.9981072,264.2404769
0.27,362.5841669,117.196981,599.052705,452.5182481,453.6871923,357.8728635,423.5273721,359.1688365,375.8454468,433.7754519,301.6063715,277.5939401
0.28,382.644314,127.5671681,630.5827708,478.2286594,479.6369175,379.0222078,445.8808488,388.6697017,395.4839088,452.1055786,315.5895636,291.4315348
0.29,403.6664308,142.4193876,662.7272627,505.4846713,506.4405069,401.2308358,468.8554014,420.1323056,415.7154471,470.7371036,329.9443438,305.7406399
0.3,425.7405091,624.4705076,695.4573707,534.3918632,534.0529312,424.4795955,492.421046,452.9909646,436.5177327,489.6773766,344.6668285,320.5035425
0.31,448.9679107,664.6919425,728.7473343,565.0599341,562.4277238,448.737418,516.547727,486.6549754,457.8674076,508.9341343,359.7527545,335.6999649
0.32,473.463509,700.2832151,762.5745091,597.6022724,591.5184522,473.9634411,541.2060481,520.608497,479.7407574,528.5155232,375.1976377,351.3078012
0.33,499.3583387,732.7050861,796.9193587,632.1354046,621.2799655,500.1090593,566.3678754,554.4602123,502.1143103,548.430124,390.9969222,367.3038604
0.34,526.8029103,762.7848461,831.7653907,668.778323,651.66939,527.1202457,592.0068097,587.9463355,524.9653499,568.6869761,407.1461192,383.6645738
0.35,555.9714074,791.0974314,867.0990556,707.6517009,682.6468719,554.9399227,618.0985352,620.9084559,548.2723348,589.2956045,423.6409332,400.3666306
0.36,587.0670758,818.1672189,902.9096232,748.8770132,714.1760872,583.5101892,644.6210567,653.2650111,572.0152263,610.2660478,440.4773756,417.3875204
0.37,620.3292407,844.3592362,939.1890471,792.575584,746.2245486,612.7742601,671.5548426,684.9861067,596.175731,631.6088883,457.6518644,434.7059709
0.38,656.0425975,869.9247312,975.9318253,838.867595,778.7637485,642.6780354,698.8828903,716.0745665,620.7374664,653.3352852,475.161312,452.3022795
0.39,694.5497386,895.0481192,1013.134866,887.8710602,811.7691726,673.1712735,726.5907321,746.5528426,645.6860636,675.4570093,493.0032008,470.158546
0.4,736.2684014,919.8719485,1050.797359,939.6707765,845.2202209,704.2083855,754.6663964,776.4544276,671.0092166,697.9864813,511.1756478,488.2588175
0.41,781.7157931,944.5113308,1088.920659,994.2508562,879.1000647,735.7488989,783.1003385,805.8184155,696.6966915,720.9368135,529.6774599,506.5891601
0.42,831.4891974,969.0628517,1127.508184,1051.550022,913.3954642,767.7577624,811.885351,834.6861522,722.7403053,744.3218544,548.5081809,525.1376728
0.43,885.9089089,993.6103848,1166.565471,1111.478787,948.0965662,800.2255585,841.0164652,863.0992377,749.1338841,768.1562383,567.6681322,543.8944571
0.44,945.03556,1018.22908,1206.111685,1173.925119,983.196697,833.1894075,870.4908486,891.0983821,775.8732075,792.4554387,587.158448,562.8515559
0.45,1008.75031,1042.988228,1246.187082,1238.761114,1018.69216,866.6917071,900.3077047,918.7227968,802.9559474,817.2358271,606.9811067,582.0028726
0.46,1076.747116,1067.95342,1286.834132,1305.849968,1054.582046,900.7746378,930.46818,946.0099149,830.3816039,842.5147371,627.1389602,601.3440791
0.47,1148.558056,1093.188256,1328.095827,1375.052559,1090.870233,935.4806439,960.9752794,972.9953131,858.151445,868.3105344,647.6357617,620.8725205
0.48,1223.60759,1118.75577,1370.016012,1446.23318,1127.583981,970.8528545,991.8337936,999.7127523,886.2684501,894.6426949,668.4761938,640.5871199
0.49,1301.280193,1144.719692,1412.639699,1519.264118,1164.763026,1006.935466,1023.050821,1026.194287,914.7372627,921.5317047,689.6658979,660.4882905
0.5,1380.982853,1171.145625,1456.013369,1594.029039,1202.447296,1043.774103,1054.643373,1052.47411,943.5641518,948.9895529,711.2115056,680.5778542
0.51,1462.189659,1198.102212,1500.185283,1670.425212,1240.677132,1081.416158,1086.635718,1078.625313,972.7567247,977.0147395,733.120671,700.8589736
