,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,237.4664364,342.2703203,184.7536374,170.2065704,110.426979,96.65730845,61.98712508,53.35129681,41.61451553,36.62820375,31.43399256,26.43846319
0.02,511.787558,653.6953701,356.3966832,333.2117249,202.364523,193.9743704,111.0103752,95.19345953,70.40930547,64.57885908,49.1085962,42.03037514
0.03,810.1804833,980.0414075,524.416473,497.6247333,292.6573795,293.4147487,158.8214249,136.3515988,97.61944238,91.68781703,65.03727745,56.3134638
0.04,1128.084562,1324.856663,690.6410405,664.1016242,382.9378652,394.5124032,206.438939,177.7200935,124.2081567,118.5200933,80.1902238,70.04905786
0.05,1463.317933,1689.436114,856.0914294,832.9723295,473.8587183,497.1330093,254.2581668,219.6293827,150.5498426,145.292409,94.93995714,83.52746158
0.06,1814.486711,2070.758936,1021.426731,1004.455518,565.7698642,601.2478029,302.4862059,262.2457823,176.8389471,172.1192653,109.4771488,96.89673865
0.07,2170.112657,2448.018156,1187.112224,1178.717761,658.8924635,706.8690832,351.2513143,305.6695444,203.1936012,199.0724989,123.9155788,110.2451145
0.08,2510.129269,2806.013132,1353.498033,1355.897579,753.3829259,814.0273633,400.642456,349.9694283,229.6933801,226.2024586,138.3302552,123.6307954
0.09,2826.992443,3140.56805,1520.86092,1536.117313,849.3615706,922.7620838,450.7267857,395.1975779,256.3960991,253.5473192,152.7743175,137.0951459
0.1,3120.599403,3452.472746,1689.428507,1719.445405,946.9272166,1033.117495,501.5584618,441.3968153,283.3463233,281.1377879,167.2875736,150.6693244
0.11,3393.333128,3744.312289,1859.324926,1904.51162,1046.165327,1145.140741,553.1835266,488.6045692,310.5800993,308.9997312,181.9012313,164.3779482
0.12,3649.966332,4022.429716,2029.49038,2088.678219,1147.152891,1258.880951,605.6428087,536.855148,338.1277785,337.1557548,196.6407107,178.2412666
0.13,3896.814394,4293.895312,2198.219938,2270.078363,1249.961514,1374.388834,658.9737519,586.1811357,366.0157973,365.6262125,211.5274102,192.2765231
0.14,4138.108502,4563.600466,2364.332435,2447.60494,1354.659477,1491.716521,713.2116235,636.6142925,394.2678532,394.429882,226.5798672,206.4988473
0.15,4376.827181,4750,2527.113244,2620.703175,1461.313164,1610.917541,768.3903469,688.1861635,422.9057112,423.5844366,241.8145499,220.9218634
0.16,4615.298223,4750,2686.193235,2789.182783,1569.973988,1732.046877,824.5430974,740.9285092,451.9497767,453.1067867,257.2464152,235.558118
0.17,4750,4750,2841.440441,2953.077872,1680.304447,1855.046194,881.7027443,794.8736223,481.4195144,483.013335,272.8893131,250.4193908
0.18,4750,4750,2992.876601,3112.552167,1791.589929,1978.848505,939.9021899,850.0545714,511.3337638,513.3201733,288.7562878,265.5169254
0.19,4750,4750,3140.617895,3267.838376,1903.206806,2102.066397,999.1746379,906.5053983,541.7109825,544.043238,304.859807,280.8616061
0.2,4750,4750,3284.834894,3419.204727,2014.656201,2223.66503,1059.553814,964.2612828,572.5694401,575.198437,321.211941,296.4640961
0.21,4750,4750,3425.752481,3567.249574,2125.558068,2342.953803,1121.074154,1023.358688,603.9273749,606.801756,337.824505,312.3349484
0.22,4750,4750,3564.007372,3712.997122,2235.636606,2459.525376,1183.770964,1083.835493,635.803125,638.8693489,354.7091759,328.4846968
0.23,4750,4750,3700.432896,3857.303587,2344.702473,2573.183317,1247.680573,1145.731118,668.2152416,671.4176185,371.8775886,344.9239325
0.24,4750,4750,3835.708294,4000.87045,2452.635198,2683.877366,1312.833876,1209.084657,701.1825863,704.4632885,389.3414188,361.6633703
0.25,4750,4750,3970.401514,4144.296876,2559.367539,2791.652797,1379.141761,1273.839041,734.724421,738.02347,407.1124548,378.7139064
0.26,4750,4750,4105.004755,4288.114122,2664.872424,2896.613782,1446.415317,1339.800722,768.8604887,772.1157248,425.2026614,396.0866719
0.27,4750,4750,4239.958595,4432.809485,2769.152484,2998.898197,1514.476177,1406.775661,803.6110912,806.7581254,443.6242384,413.7930808
0.28,4750,4750,4375.669242,4578.843994,2872.231892,3098.660907,1583.163764,1474.585396,838.9971623,841.9693145,462.3896743,431.8448763
0.29,4750,4750,4512.521507,4726.666329,2974.150136,3196.063017,1652.337117,1543.070257,875.0403409,877.7685636,481.5117979,450.2541753
0.3,4750,4750,4650.889107,4750,3074.957332,3291.265172,1721.875347,1612.090868,911.7630426,914.1758326,501.003828,469.033512
0.31,4750,4750,4750,4750,3174.71074,3384.445967,1791.67708,1681.528323,949.1885327,951.2117262,520.879422,488.1958812
0.32,4750,4750,4750,4750,3273.497047,3475.97509,1861.659236,1751.283396,987.3403976,988.8804501,541.1527246,507.7547823
0.33,4750,4750,4750,4750,3371.577659,3566.265594,1931.755402,1821.275144,1026.210437,1027.151128,561.836209,527.723284
0.34,4750,4750,4750,4750,3469.25569,3655.65978,2001.914054,1891.439184,1065.742598,1065.990182,582.9244246,548.0993301
0.35,4750,4750,4750,4750,3566.796222,3744.448446,2072.096734,1961.725829,1105.878761,1105.366393,604.4029799,568.8685362
0.36,4750,4750,4750,4750,3664.436454,3832.885066,2142.276328,2032.098257,1146.563854,1145.251225,626.2577369,590.016461
0.37,4750,4750,4750,4750,3762.393429,3921.195853,2212.435474,2102.530777,1187.746737,1185.619054,648.4751322,611.5292244
0.38,4750,4750,4750,4750,3860.869874,4009.587152,2282.565136,2173.007256,1229.380817,1226.447301,671.0423951,633.3937358
0.39,4750,4750,4750,4750,3960.058769,4098.251043,2352.663368,2243.519729,1271.424437,1267.716491,693.9477278,655.5978827
0.4,4750,4750,4750,4750,4060.147037,4187.36976,2422.734234,2314.06718,1313.841056,1309.410259,717.1804495,678.1306804
0.41,4750,4750,4750,4750,4161.318657,4277.119277,2492.786911,2384.654518,1356.599286,1351.515306,740.7311073,700.9823863
0.42,4750,4750,4750,4750,4263.757373,4367.672349,2562.834918,2455.291695,1399.672785,1394.021328,764.5915572,724.1445833
0.43,4750,4750,4750,4750,4367.649159,4459.201183,2632.895497,2525.992984,1443.040079,1436.920922,788.7550204,747.6102366
0.44,4750,4750,4750,4750,4473.184555,4551.879888,2702.989088,2596.776382,1486.684315,1480.209479,813.2161188,771.3737281
0.45,4750,4750,4750,4750,4580.560955,4645.886818,2773.138921,2667.663121,1530.592989,1523.885076,837.9708939,795.4308744
0.46,4750,4750,4750,4750,4689.984945,4741.406902,2843.370683,2738.677278,1574.757655,1567.948368,863.0168136,819.7789312
0.47,4750,4750,4750,4750,4750,4750,2913.712862,2809.845524,1619.173638,1612.402488,888.35277,844.416589
0.48,4750,4750,4750,4750,4750,4750,2984.233777,2881.223248,1663.839764,1657.252956,913.9790728,869.3439637
0.49,4750,4750,4750,4750,4750,4750,3055.058621,2952.933695,1708.758104,1702.507597,939.897439,894.5625837
0.5,4750,4750,4750,4750,4750,4750,3126.311128,3025.104614,1753.933746,1748.176484,966.1109844,920.0753791
0.51,4750,4750,4750,4750,4750,4750,3198.110169,3097.858494,1799.374599,1794.271883,992.6242164,945.8866714
0.52,4750,4750,4750,4750,4750,4750,3270.571659,3171.314622,1845.091225,1840.808229,1019.443031,972.002169
0.53,4750,4750,4750,4750,4750,4750,3343.810196,3245.590815,1891.096695,1887.802108,1046.574718,998.4289683
0.54,4750,4750,4750,4750,4750,4750,3417.940504,3320.804946,1937.406493,1935.272271,1074.027968,1025.175562
0.55,4750,4750,4750,4750,4750,4750,3493.078754,3397.076334,1984.038429,1983.239656,1101.812895,1052.251857
0.56,4750,4750,4750,4750,4750,4750,3569.343815,3474.527043,2031.012605,2031.727439,1129.941067,1079.669203
0.57,4750,4750,4750,4750,4750,4750,3646.858467,3553.283154,2078.351389,2080.761103,1158.425544,1107.440428
0.58,4750,4750,4750,4750,4750,4750,3725.750638,3633.476034,2126.079437,2130.368536,1187.28093,1135.579894
0.59,4750,4750,4750,4750,4750,4750,3806.154669,3715.243652,2174.223736,2180.580148,1216.523446,1164.103562
0.6,4750,4750,4750,4750,4750,4750,3888.212669,3798.731969,2222.81368,2231.429063,1246.17101,1193.02907
0.61,4750,4750,4750,4750,4750,4750,3972.075969,3884.096438,2271.881785,2282.963059,1276.243336,1222.375836
0.62,4750,4750,4750,4750,4750,4750,4057.906741,3971.503659,2321.48344,2335.260054,1306.762057,1252.165176
0.63,4750,4750,4750,4750,4750,4750,4145.879792,4061.133226,2371.70036,2388.404571,1337.750869,1282.420441
0.64,4750,4750,4750,4750,4750,4750,4236.184615,4153.179821,2422.617292,2442.48466,1369.235693,1313.167185
0.65,4750,4750,4750,4750,4750,4750,4329.027728,4247.855613,2474.321501,2497.592828,1401.244879,1344.433379
0.66,4750,4750,4750,4750,4750,4750,4424.635394,4345.39303,2526.903782,2553.827027,1433.813411,1376.255126
0.67,4750,4750,4750,4750,4750,4750,4523.256788,4446.047999,2580.459503,2611.291723,1466.993394,1408.684714
0.68,4750,4750,4750,4750,4750,4750,4625.167747,4550.103766,2635.089714,2670.099071,1500.843472,1441.77975
0.69,4750,4750,4750,4750,4750,4750,4730.675211,4657.87542,2690.902351,2730.370253,1535.426331,1475.601853
0.7,4750,4750,4750,4750,4750,4750,4750,4750,2748.013576,2792.236983,1570.809437,1510.217378
0.71,4750,4750,4750,4750,4750,4750,4750,4750,2806.549292,2855.843256,1607.065871,1545.698248
0.72,4750,4750,4750,4750,4750,4750,4750,4750,2866.646877,2921.347379,1644.2753,1582.122897
0.73,4750,4750,4750,4750,4750,4750,4750,4750,2928.457213,2988.924374,1682.525089,1619.57738
0.74,4750,4750,4750,4750,4750,4750,4750,4750,2992.147066,3058.768817,1721.911621,1658.156665
0.75,4750,4750,4750,4750,4750,4750,4750,4750,3057.901923,3131.098254,1762.541853,1697.966176
0.76,4750,4750,4750,4750,4750,4750,4750,4750,3125.929404,3206.157328,1804.53519,1739.12364
0.77,4750,4750,4750,4750,4750,4750,4750,4750,3196.463408,3284.222816,1848.025746,1781.761318
0.78,4750,4750,4750,4750,4750,4750,4750,4750,3269.769194,3365.609825,1893.16511,1826.02874
0.79,4750,4750,4750,4750,4750,4750,4750,4750,3346.149683,3450.679512,1940.125754,1872.096065
0.8,4750,4750,4750,4750,4750,4750,4750,4750,3425.953344,3539.848765,1989.10528,1920.158284
0.81,4750,4750,4750,4750,4750,4750,4750,4750,3509.584198,3633.602517,2040.331776,1970.440504
0.82,4750,4750,4750,4750,4750,4750,4750,4750,3597.514623,3732.509568,2094.070637,2023.204686
0.83,4750,4750,4750,4750,4750,4750,4750,4750,3690.30201,3837.243207,2150.633371,2078.758346
0.84,4750,4750,4750,4750,4750,4750,4750,4750,3788.610706,3948.608468,2210.389131,2137.465947
0.85,4750,4750,4750,4750,4750,4750,4750,4750,3893.241414,4067.57875,2273.78004,2199.764038
0.86,4750,4750,4750,4750,4750,4750,4750,4750,4005.171277,4195.345918,2341.341932,2266.181744
0.87,4750,4750,4750,4750,4750,4750,4750,4750,4125.609674,4333.390254,2413.732947,2337.369016
0.88,4750,4750,4750,4750,4750,4750,4750,4750,4256.077659,4483.580436,2491.773859,2414.136475
0.89,4750,4750,4750,4750,4750,4750,4750,4750,4398.52412,4648.320302,2576.506402,2497.513033
0.9,4750,4750,4750,4750,4750,4750,4750,4750,4555.500927,4750,2669.280138,2588.831711
0.91,4750,4750,4750,4750,4750,4750,4750,4750,4730.43674,4750,2771.8864,2689.861967
0.92,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,2886.773504,2803.022306
0.93,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,3017.410345,2931.739454
0.94,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,3168.940251,3081.094235
0.95,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,3349.454717,3259.079642
0.96,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,3572.754322,3479.327427
0.97,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,3865.308474,3767.979906
0.98,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4288.435136,4185.581894
0.99,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
