,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,804.9614457,804.9614457,538.1788509,538.1788509,225.2858529,225.2858529,145.6936694,145.6936694,110.5066531,110.5066531,112.9203377,112.9203377
0.02,1521.489892,1521.489892,966.8311525,966.8311525,448.2492435,448.2492435,245.8852786,245.8852786,191.2185695,191.2185695,198.46104,198.46104
0.03,2194.084357,2194.084357,1335.624308,1335.624308,672.5575314,672.5575314,343.0226642,343.0226642,266.2715759,266.2715759,272.2343661,272.2343661
0.04,2829.428175,2829.428175,1670.185633,1670.185633,898.73534,898.73534,440.9019032,440.9019032,338.1785906,338.1785906,335.98864,335.98864
0.05,3378.267274,3378.267274,1982.152998,1982.152998,1127.216143,1127.216143,541.0081757,541.0081757,408.0565198,408.0565198,392.3855482,392.3855482
0.06,3835.303298,3835.303298,2277.762746,2277.762746,1358.338076,1358.338076,644.1443026,644.1443026,476.5428188,476.5428188,443.3162031,443.3162031
0.07,4231.513289,4231.513289,2559.0549,2559.0549,1592.373788,1592.373788,750.8361239,750.8361239,544.0510784,544.0510784,490.0590692,490.0590692
0.08,4600.159504,4600.159504,2827.002647,2827.002647,1829.552394,1829.552394,861.4774728,861.4774728,610.872207,610.872207,533.4995743,533.4995743
0.09,4750,4750,3082.860265,3082.860265,2070.025454,2070.025454,976.3935387,976.3935387,677.2227778,677.2227778,574.272134,574.272134
0.1,4750,4750,3327.909797,3327.909797,2309.172573,2309.172573,1095.872506,1095.872506,743.2710926,743.2710926,612.8461109,612.8461109
0.11,4750,4750,3563.347627,3563.347627,2536.851709,2536.851709,1220.182986,1220.182986,809.15248,809.15248,649.5786188,649.5786188
0.12,4750,4750,3790.405012,3790.405012,2748.500656,2748.500656,1349.584416,1349.584416,874.9788645,874.9788645,684.7479886,684.7479886
0.13,4750,4750,4011.372514,4011.372514,2943.788753,2943.788753,1484.333698,1484.333698,940.8450569,940.8450569,718.575685,718.575685
