,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,32.47512946,32.47512946,17.70781632,17.70781632,8.333017929,8.333017929,9.992660632,9.992660632,10.4050367,10.4050367,8.883980645,8.883980645
0.02,45.12307595,45.12307595,30.07373748,30.07373748,14.37102923,14.37102923,16.63329938,16.63329938,16.18709828,16.18709828,13.63067535,13.63067535
0.03,56.49936396,56.49936396,42.05710034,42.05710034,20.45268667,20.45268667,23.13722244,23.13722244,21.62234223,21.62234223,18.05405556,18.05405556
0.04,67.77841024,67.77841024,54.1047679,54.1047679,26.78977678,26.78977678,29.78531576,29.78531576,27.04282356,27.04282356,22.43780897,22.43780897
0.05,79.525117,79.525117,66.38981836,66.38981836,33.47464549,33.47464549,36.6948108,36.6948108,32.5838876,32.5838876,26.89584445,26.89584445
0.06,92.19402049,92.19402049,79.00418923,79.00418923,40.56630891,40.56630891,43.93596354,43.93596354,38.32425341,38.32425341,31.49300937,31.49300937
0.07,106.2954772,106.2954772,92.00672177,92.00672177,48.11162671,48.11162671,51.56094015,51.56094015,44.32066324,44.32066324,36.27486368,36.27486368
0.08,122.5447693,122.5447693,105.4403525,105.4403525,56.15287125,56.15287125,59.61418988,59.61418988,50.62040949,50.62040949,41.27839711,41.27839711
0.09,142.0939279,142.0939279,119.3396219,119.3396219,64.73110177,64.73110177,68.13706198,68.13706198,57.26699888,57.26699888,46.53683084,46.53683084
0.1,166.0642898,166.0642898,133.7344154,133.7344154,73.88794143,73.88794143,77.17020778,77.17020778,64.30318937,64.30318937,52.08214601,52.08214601
0.11,194.600587,194.600587,148.6520146,148.6520146,83.66666169,83.66666169,86.75500797,86.75500797,71.77288978,71.77288978,57.9466173,57.9466173
0.12,226.5839194,226.5839194,164.1178626,164.1178626,94.11294256,94.11294256,96.93453311,96.93453311,79.72253988,79.72253988,64.16387884,64.16387884
0.13,260.061182,260.061182,180.1400156,180.1400156,105.2754779,105.2754779,107.7542712,107.7542712,88.20226452,88.20226452,70.76976975,70.76976975
0.14,293.3321616,293.3321616,196.7048636,196.7048636,117.2065113,117.2065113,119.2627409,119.2627409,97.26696044,97.26696044,77.80308909,77.80308909
0.15,325.4548795,325.4548795,213.7974767,213.7974767,129.9591931,129.9591931,131.5120568,131.5120568,106.9774165,106.9774165,85.30633805,85.30633805
0.16,356.0836596,356.0836596,231.4034741,231.4034741,143.5472398,143.5472398,144.5584866,144.5584866,117.4015424,117.4015424,93.32650308,93.32650308
0.17,385.1843386,385.1843386,249.5093624,249.5093624,157.9484518,157.9484518,158.4622352,158.4622352,128.6157757,128.6157757,101.9159238,101.9159238
0.18,412.8519687,412.8519687,268.102755,268.102755,173.1317419,173.1317419,173.2439362,173.2439362,140.7067369,140.7067369,111.1332881,111.1332881
0.19,439.2339416,439.2339416,287.1725067,287.1725067,189.0601592,189.0601592,188.8512539,188.8512539,153.7627315,153.7627315,121.0447995,121.0447995
0.2,464.5901953,464.5901953,306.7087862,306.7087862,205.6932938,205.6932938,205.2129948,205.2129948,167.8029844,167.8029844,131.7233166,131.7233166
0.21,489.17413,489.17413,326.7031049,326.7031049,222.9894101,222.9894101,222.2498771,222.2498771,182.7957851,182.7957851,143.2016635,143.2016635
0.22,513.1643125,513.1643125,347.1483154,347.1483154,240.9071905,240.9071905,239.8802607,239.8802607,198.6864495,198.6864495,155.4571042,155.4571042
0.23,536.692579,536.692579,368.0385903,368.0385903,259.4070513,259.4070513,258.0248649,258.0248649,215.40246,215.40246,168.4458734,168.4458734
0.24,559.8604396,559.8604396,389.3693882,389.3693882,278.4520542,278.4520542,276.6101316,276.6101316,232.8599611,232.8599611,182.1084971,182.1084971
0.25,582.7487562,582.7487562,411.1374125,411.1374125,298.00847,298.00847,295.5702384,295.5702384,250.9704381,250.9704381,196.3751125,196.3751125
0.26,605.4237961,605.4237961,433.3405677,433.3405677,318.0460664,318.0460664,314.8479872,314.8479872,269.6465231,269.6465231,211.1711712,211.1711712
0.27,627.9412009,627.9412009,455.9663654,455.9663654,338.53819,338.53819,334.3948678,334.3948678,288.8063302,288.8063302,226.4225529,226.4225529
0.28,650.348693,650.348693,478.9633168,478.9633168,359.4617063,359.4617063,354.1705933,354.1705933,308.3761873,308.3761873,242.0594855,242.0594855
0.29,672.6879832,672.6879832,502.2754333,502.2754333,380.7968462,380.7968462,374.1423425,374.1423425,328.2919601,328.2919601,258.01908,258.01908
0.3,694.9961543,694.9961543,525.8525239,525.8525239,402.5270011,402.5270011,394.2838821,394.2838821,348.4993146,348.4993146,274.2466078,274.2466078
0.31,717.3066906,717.3066906,549.6506126,549.6506126,424.6384613,424.6384613,414.5746766,414.5746766,368.9532778,368.9532778,290.6958061,290.6958061
0.32,739.6502619,739.6502619,573.6319799,573.6319799,447.1098721,447.1098721,434.9990536,434.9990536,389.6174041,389.6174041,307.3285335,307.3285335
0.33,762.0553332,762.0553332,597.7649341,597.7649341,469.8984828,469.8984828,455.5454536,455.5454536,410.4627683,410.4627683,324.1140518,324.1140518
0.34,784.5486483,784.5486483,622.0234105,622.0234105,492.9639046,492.9639046,476.2058562,476.2058562,431.4669326,431.4669326,341.0281418,341.0281418
0.35,807.1556209,807.1556209,646.3864735,646.3864735,516.2720108,516.2720108,496.9755042,496.9755042,452.6129713,452.6129713,358.0521882,358.0521882
0.36,829.9006578,829.9006578,670.8377804,670.8377804,539.7945529,539.7945529,517.8521216,517.8521216,473.8885955,473.8885955,375.1723153,375.1723153
0.37,852.8074298,852.8074298,695.365048,695.365048,563.5086605,563.5086605,538.8354119,538.8354119,495.2835624,495.2835624,392.3786126,392.3786126
0.38,875.8991043,875.8991043,719.9595455,719.9595455,587.3962925,587.3962925,559.9267541,559.9267541,516.7857786,516.7857786,409.6644653,409.6644653
0.39,899.1985484,899.1985484,744.6156312,744.6156312,611.4436876,611.4436876,581.1289553,581.1289553,538.386034,538.386034,427.02599,427.02599
0.4,922.7285028,922.7285028,769.3303389,769.3303389,635.6408429,635.6408429,602.4460524,602.4460524,560.0785429,560.0785429,444.4615665,444.4615665
0.41,946.5105361,946.5105361,794.1030157,794.1030157,659.9810377,659.9810377,623.8831542,623.8831542,581.8604011,581.8604011,461.9732821,461.9732821
0.42,970.5639014,970.5639014,818.9350103,818.9350103,684.4604097,684.4604097,645.4463161,645.4463161,603.7311305,603.7311305,479.5722202,479.5722202
0.43,994.9079069,994.9079069,843.8294089,843.8294089,709.0775875,709.0775875,667.1424439,667.1424439,625.6923037,625.6923037,497.27146,497.27146
0.44,1019.562331,1019.562331,868.7908133,868.7908133,733.8333742,733.8333742,688.9792199,688.9792199,647.7472371,647.7472371,515.0838191,515.0838191
0.45,1044.547518,1044.547518,893.8251582,893.8251582,758.7304826,758.7304826,710.9650502,710.9650502,669.9007427,669.9007427,533.0219667,533.0219667
0.46,1069.884477,1069.884477,918.9395614,918.9395614,783.7733143,783.7733143,733.1090268,733.1090268,692.158931,692.158931,551.0985234,551.0985234
0.47,1095.594977,1095.594977,944.1422051,944.1422051,808.9677791,808.9677791,755.4209061,755.4209061,714.5290556,714.5290556,569.326151,569.326151
0.48,1121.701659,1121.701659,969.4422424,969.4422424,834.3211504,834.3211504,777.9110985,777.9110985,737.0193936,737.0193936,587.7176359,587.7176359
0.49,1148.228142,1148.228142,994.8497807,994.8497807,859.8419511,859.8419511,800.5906703,800.5906703,759.6391563,759.6391563,606.2859669,606.2859669
0.5,1175.199141,1175.199141,1020.382791,1020.382791,885.5398683,885.5398683,823.4713545,823.4713545,782.3984254,782.3984254,625.044411,625.044411
0.51,1202.640595,1202.640595,1046.073078,1046.073078,911.4256905,911.4256905,846.5655725,846.5655725,805.3081104,805.3081104,644.0065877,644.0065877
0.52,1230.579803,1230.579803,1071.953142,1071.953142,937.5112686,937.5112686,869.8864639,869.8864639,828.3799264,828.3799264,663.1865437,663.1865437
0.53,1259.04557,1259.04557,1098.054837,1098.054837,963.8094945,963.8094945,893.4479249,893.4479249,851.6263869,851.6263869,682.5988288,682.5988288
0.54,1288.068372,1288.068372,1124.409735,1124.409735,990.3342989,990.3342989,917.2646568,917.2646568,875.060813,875.060813,702.2585751,702.2585751
0.55,1317.680535,1317.680535,1151.04945,1151.04945,1017.100713,1017.100713,941.3522219,941.3522219,898.6973559,898.6973559,722.1815801,722.1815801
0.56,1347.916428,1347.916428,1178.00593,1178.00593,1044.131369,1044.131369,965.7271105,965.7271105,922.5510327,922.5510327,742.3843949,742.3843949
0.57,1378.812686,1378.812686,1205.311745,1205.311745,1071.462546,1071.462546,990.4068171,990.4068171,946.6377748,946.6377748,762.8844193,762.8844193
0.58,1410.40845,1410.40845,1233.000353,1233.000353,1099.132171,1099.132171,1015.41009,1015.41009,970.9744896,970.9744896,783.7000051,783.7000051
0.59,1442.745644,1442.745644,1261.106382,1261.106382,1127.178613,1127.178613,1040.762278,1040.762278,995.5791348,995.5791348,804.8505684,804.8505684
0.6,1475.869276,1475.869276,1289.6659,1289.6659,1155.64107,1155.64107,1066.49645,1066.49645,1020.470807,1020.470807,826.3567146,826.3567146
0.61,1509.827788,1509.827788,1318.716716,1318.716716,1184.559962,1184.559962,1092.647312,1092.647312,1045.669847,1045.669847,848.2403758,848.2403758
0.62,1544.67344,1544.67344,1348.298682,1348.298682,1213.977306,1213.977306,1119.251107,1119.251107,1071.199054,1071.199054,870.524965,870.524965
0.63,1580.462764,1580.462764,1378.454036,1378.454036,1243.937115,1243.937115,1146.34594,1146.34594,1097.092149,1097.092149,893.2355482,893.2355482
0.64,1617.257061,1617.257061,1409.227763,1409.227763,1274.485809,1274.485809,1173.972117,1173.972117,1123.389034,1123.389034,916.3990744,916.3990744
0.65,1655.122986,1655.122986,1440.66801,1440.66801,1305.672661,1305.672661,1202.172516,1202.172516,1150.131253,1150.131253,940.047364,940.047364
