,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,14.67234757,14.67234757,29.91839821,29.91839821,12.72674929,12.72674929,36.12465429,36.12465429,24.96261118,24.96261118,17.85279967,17.85279967
0.02,19.50099496,19.50099496,33.72301395,33.72301395,21.41619183,21.41619183,48.62007515,48.62007515,36.62490979,36.62490979,28.48116171,28.48116171
0.03,23.35876238,23.35876238,36.40989186,36.40989186,29.79529649,29.79529649,58.76233429,58.76233429,46.6802724,46.6802724,38.30030967,38.30030967
0.04,26.75604227,26.75604227,38.60320109,38.60320109,38.18323944,38.18323944,67.81631708,67.81631708,55.97412527,55.97412527,47.81655569,47.81655569
0.05,29.88072167,29.88072167,40.51532035,40.51532035,46.62569292,46.62569292,76.24763207,76.24763207,64.82701854,64.82701854,57.20312667,57.20312667
0.06,32.82640231,32.82640231,42.24672312,42.24672312,55.11134409,55.11134409,84.28813104,84.28813104,73.4018457,73.4018457,66.54653537,66.54653537
0.07,35.65016838,35.65016838,43.85385309,43.85385309,63.62945148,63.62945148,92.07320229,92.07320229,81.79504155,81.79504155,75.89755007,75.89755007
0.08,38.39048347,38.39048347,45.37209228,45.37209228,72.17254594,72.17254594,99.69040937,99.69040937,90.06954355,90.06954355,85.28927515,85.28927515
0.09,41.0740044,41.0740044,46.8254283,46.8254283,80.73622309,80.73622309,107.2006712,107.2006712,98.26936564,98.26936564,94.74503801,94.74503801
0.1,43.72026566,43.72026566,48.23114318,48.23114318,89.31844308,89.31844308,114.6488098,114.6488098,106.4269455,106.4269455,104.2823137,104.2823137
0.11,46.34426246,46.34426246,49.60233086,49.60233086,97.91887956,97.91887956,122.0693299,122.0693299,114.5672115,114.5672115,113.9148702,113.9148702
0.12,48.95796657,48.95796657,50.94935889,50.94935889,106.5384171,106.5384171,129.4898231,129.4898231,122.7099978,122.7099978,123.6540283,123.6540283
0.13,51.57126897,51.57126897,52.2807733,52.2807733,115.1787866,115.1787866,136.9330896,136.9330896,130.8715599,130.8715599,133.5094429,133.5094429
0.14,54.19259471,54.19259471,53.60389162,53.60389162,123.8423072,123.8423072,144.4185233,144.4185233,139.0655699,139.0655699,143.4896123,143.4896123
0.15,56.82932061,56.82932061,54.92521325,54.92521325,132.5317064,132.5317064,151.9630527,151.9630527,147.3037931,147.3037931,153.6022211,153.6022211
0.16,59.48806932,59.48806932,56.25072021,56.25072021,141.2499949,141.2499949,159.5818003,159.5818003,155.5965649,155.5965649,163.8543809,163.8543809
0.17,62.17492331,62.17492331,57.58611218,57.58611218,150.0003799,150.0003799,167.2885604,167.2885604,163.9531343,163.9531343,174.2528034,174.2528034
0.18,64.89558552,64.89558552,58.93700423,58.93700423,158.7862067,158.7862067,175.0961534,175.0961534,172.3819186,172.3819186,184.8039281,184.8039281
0.19,67.65550368,67.65550368,60.30881501,60.30881501,167.6109185,167.6109185,183.0166961,183.0166961,180.8906958,180.8906958,195.5140206,195.5140206
0.2,70.45996974,70.45996974,61.70577677,61.70577677,176.4780307,176.4780307,191.0618128,191.0618128,189.4867534,189.4867534,206.3892481,206.3892481
0.21,73.31420173,73.31420173,63.13180406,63.13180406,185.3911142,185.3911142,199.2428044,199.2428044,198.1770047,198.1770047,217.4357403,217.4357403
0.22,76.22341376,76.22341376,64.59091458,64.59091458,194.3537864,194.3537864,207.570787,207.570787,206.9680829,206.9680829,228.6596393,228.6596393
0.23,79.19287768,79.19287768,66.08729057,66.08729057,203.3697061,203.3697061,216.0566886,216.0566886,215.8664171,215.8664171,240.0671416,240.0671416
0.24,82.22797955,82.22797955,67.62534043,67.62534043,212.4425737,212.4425737,224.7083325,224.7083325,224.8782955,224.8782955,251.6645344,251.6645344
0.25,85.3342729,85.3342729,69.20976302,69.20976302,221.5761324,221.5761324,233.5300991,233.5300991,234.0099188,234.0099188,263.4582274,263.4582274
0.26,88.5175309,88.5175309,70.84561714,70.84561714,230.7741726,230.7741726,242.5260151,242.5260151,243.2674464,243.2674464,275.4547754,275.4547754
0.27,91.78379859,91.78379859,72.53839846,72.53839846,240.0405374,240.0405374,251.6999556,251.6999556,252.6577289,252.6577289,287.65961,287.65961
0.28,95.13944697,95.13944697,74.29412692,74.29412692,249.378551,249.378551,261.0556835,261.0556835,262.1901908,262.1901908,300.0755093,300.0755093
0.29,98.59122995,98.59122995,76.11944764,76.11944764,258.7854233,258.7854233,270.5968855,270.5968855,271.8749138,271.8749138,312.7051369,312.7051369
0.3,102.1463457,102.1463457,78.02174938,78.02174938,268.2552033,268.2552033,280.3272053,280.3272053,281.722117,281.722117,325.5514438,325.5514438
0.31,105.8126118,105.8126118,80.00930542,80.00930542,277.7827875,277.7827875,290.250274,290.250274,291.7422183,291.7422183,338.6176823,338.6176823
0.32,109.5990209,109.5990209,82.09144297,82.09144297,287.3639399,287.3639399,300.3697393,300.3697393,301.9458936,301.9458936,351.9074187,351.9074187
0.33,113.5155481,113.5155481,84.27874925,84.27874925,296.9952433,296.9952433,310.6892933,310.6892933,312.3441347,312.3441347,365.424546,365.424546
0.34,117.5731226,117.5731226,86.58332449,86.58332449,306.6740461,306.6740461,321.2126992,321.2126992,322.9483067,322.9483067,379.1732973,379.1732973
0.35,121.7837804,121.7837804,89.01909589,89.01909589,316.3984068,316.3984068,331.9438171,331.9438171,333.7702063,333.7702063,393.1582592,393.1582592
0.36,126.1608457,126.1608457,91.60221074,91.60221074,326.16704,326.16704,342.8866295,342.8866295,344.822121,344.822121,407.3843861,407.3843861
0.37,130.7191471,130.7191471,94.35153405,94.35153405,335.9792638,335.9792638,354.0452666,354.0452666,356.1168915,356.1168915,421.8570157,421.8570157
0.38,135.4752773,135.4752773,97.28928474,97.28928474,345.8349511,345.8349511,365.4240315,365.4240315,367.6679759,367.6679759,436.5818858,436.5818858
0.39,140.447909,140.447909,100.441858,100.441858,355.7344849,355.7344849,377.0274253,377.0274253,379.4895193,379.4895193,451.5651522,451.5651522
0.4,145.6581829,145.6581829,103.8409004,103.8409004,365.6787185,365.6787185,388.8601728,388.8601728,391.5964269,391.5964269,466.8134087,466.8134087
0.41,151.1301876,151.1301876,107.5247316,107.5247316,375.6689395,375.6689395,400.9272488,400.9272488,404.0044434,404.0044434,482.3337093,482.3337093
0.42,156.8915629,156.8915629,111.5402476,111.5402476,385.7068396,385.7068396,413.233905,413.233905,416.7302388,416.7302388,498.1335915,498.1335915
0.43,162.9742636,162.9742636,115.9454989,115.9454989,395.7944882,395.7944882,425.7856977,425.7856977,429.7915022,429.7915022,514.2211032,514.2211032
0.44,169.4155438,169.4155438,120.8132237,120.8132237,405.9343111,405.9343111,438.5885167,438.5885167,443.207044,443.207044,530.6048321,530.6048321
0.45,176.2592403,176.2592403,126.2357357,126.2357357,416.1290726,416.1290726,451.6486162,451.6486162,456.9969089,456.9969089,547.293937,547.293937
0.46,183.557477,183.557477,132.331729,132.331729,426.381887,426.381887,464.9726469,464.9726469,471.1825003,471.1825003,564.298184,564.298184
0.47,191.3729707,191.3729707,139.2557331,139.2557331,436.6996985,436.6996985,478.5676897,478.5676897,485.7867182,485.7867182,581.6279853,581.6279853
0.48,199.7822173,199.7822173,147.2110135,147.2110135,447.0965985,447.0965985,492.4412927,492.4412927,500.834113,500.834113,599.2944427,599.2944427
0.49,208.8800089,208.8800089,156.4662189,156.4662189,457.5872568,457.5872568,506.6015103,506.6015103,516.3510567,516.3510567,617.3088637,617.3088637
0.5,218.7860246,218.7860246,167.373717,167.373717,468.186192,468.186192,521.0569851,521.0569851,532.3620328,532.3620328,635.6718447,635.6718447
0.51,229.6547902,229.6547902,180.3799846,180.3799846,478.9079312,478.9079312,535.819147,535.819147,548.8781288,548.8781288,654.3735312,654.3735312
0.52,241.6889689,241.6889689,196.0261878,196.0261878,489.7671559,489.7671559,550.9034722,550.9034722,565.9066603,565.9066603,673.4042973,673.4042973
0.53,255.1140696,255.1140696,215.012646,215.012646,500.7788399,500.7788399,566.3266666,566.3266666,583.4544395,583.4544395,692.7554174,692.7554174
0.54,270.1678017,270.1678017,238.0882714,238.0882714,511.958383,511.958383,582.1064982,582.1064982,601.5278763,601.5278763,712.4192627,712.4192627
0.55,287.1255382,287.1255382,265.7387728,265.7387728,523.3217444,523.3217444,598.2619026,598.2619026,620.1331013,620.1331013,732.3894693,732.3894693
0.56,306.2989579,306.2989579,297.7462114,297.7462114,534.885579,534.885579,614.8130987,614.8130987,639.276109,639.276109,752.6610774,752.6610774
0.57,328.0250698,328.0250698,333.014257,333.014257,546.6673802,546.6673802,631.7817192,631.7817192,658.9629203,658.9629203,773.230647,773.230647
0.58,352.6413996,352.6413996,370.0215165,370.0215165,558.6856316,558.6856316,649.1909555,649.1909555,679.1997625,679.1997625,794.0963524,794.0963524
0.59,380.4433738,380.4433738,407.4839777,407.4839777,570.9599716,570.9599716,667.065721,667.065721,699.9932631,699.9932631,815.2580614,815.2580614
0.6,411.626129,411.626129,444.6302332,444.6302332,583.5113747,583.5113747,685.4328343,685.4328343,721.3506577,721.3506577,836.7174024,836.7174024
0.61,446.2250283,446.2250283,481.1142353,481.1142353,596.3623525,596.3623525,704.3212268,704.3212268,743.2800093,743.2800093,858.4778254,858.4778254
0.62,484.0808082,484.0808082,516.8422262,516.8422262,609.5371808,609.5371808,723.7621777,723.7621777,765.7904387,765.7904387,880.5446615,880.5446615
0.63,524.8529993,524.8529993,551.8454376,551.8454376,623.0621566,623.0621566,743.7895812,743.7895812,788.8923656,788.8923656,902.9251851,902.9251851
