,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,1,1,1,1,1,1,1,1,1,1,1,1
0.02,1,1,1,1,1,1,1,1,1,1,4,4
0.03,1,1,1,1,1,1,1,1,2,1,4,4
0.04,1,3,3,4,2,1,4,2,4,3,5,5
0.05,3,5,5,5,4,3,5,2,6,5,5,5
0.06,5,6,6,6,6,6,6,3,6,5,6,6
0.07,5,7,6,6,6,6,7,5,7,7,6,6
0.08,6,7,7,7,7,7,7,6,7,9,8,8
0.09,6,7,8,7,7,8,8,7,8,10,8,8
0.1,7,8,8,8,8,8,8,9,9,11,9,9
0.11,7,8,9,8,9,9,9,9,10,12,12,12
0.12,8,9,9,9,9,10,10,10,10,13,13,13
0.13,9,10,10,10,10,11,11,10,11,14,19,19
0.14,9,10,11,10,11,11,12,11,12,19,21,21
0.15,10,11,12,11,12,13,13,12,13,20,21,21
0.16,11,12,13,11,13,14,14,13,13,23,35,35
0.17,12,13,14,11,14,15,15,14,15,36,45,45
0.18,13,15,15,12,15,16,16,15,16,37,50,50
0.19,14,17,17,13,17,18,18,16,18,40,74,74
0.2,15,19,19,14,19,20,19,16,20,46,75,75
0.21,17,21,22,17,21,22,22,17,24,49,91,91
0.22,19,25,25,20,24,23,25,20,28,52,97,97
0.23,21,28,28,24,27,25,30,24,32,68,101,101
0.24,24,38,31,28,31,26,34,27,38,69,106,106
0.25,28,46,37,30,36,32,39,35,44,81,117,117
0.26,34,49,42,33,41,34,42,40,49,85,126,126
0.27,37,54,47,38,47,36,48,50,52,88,142,142
0.28,42,61,55,49,55,46,54,55,58,92,157,157
0.29,50,72,62,59,61,53,60,68,69,93,165,165
0.3,57,77,69,64,72,56,69,82,78,95,181,181
0.31,67,83,76,72,83,73,81,89,84,104,192,192
0.32,77,91,85,81,92,85,92,96,92,113,206,206
0.33,86,101,94,89,98,94,99,105,99,116,220,220
0.34,97,103,103,99,105,106,107,108,108,119,229,229
0.35,103,109,108,103,111,121,115,129,118,123,245,245
0.36,112,118,122,107,122,135,124,132,128,124,261,261
0.37,120,133,134,118,135,153,134,139,137,127,264,264
0.38,130,143,144,127,147,169,144,147,148,132,290,290
0.39,137,158,156,132,157,180,156,154,157,134,290,290
0.4,151,173,167,134,171,192,170,158,165,137,292,292
0.41,160,187,178,153,183,202,181,175,177,137,300,300
0.42,175,206,191,160,192,213,190,191,185,140,310,310
0.43,189,215,203,165,206,220,203,196,196,151,311,311
0.44,202,227,214,179,222,250,215,201,209,153,320,320
0.45,214,238,231,185,236,284,228,221,220,155,362,362
0.46,234,250,244,195,256,297,245,228,236,169,364,364
0.47,261,288,263,212,280,322,264,247,254,177,372,372
0.48,278,316,277,224,297,360,282,256,274,194,372,372
0.49,309,349,297,236,323,408,309,290,287,194,379,379
0.5,340,393,325,248,359,459,359,320,307,244,404,404
0.51,362,454,348,254,410,485,390,358,346,251,405,405
0.52,390,470,379,278,460,558,435,396,381,258,443,443
0.53,435,550,419,304,513,647,482,446,430,285,443,443
0.54,484,614,452,340,591,699,563,477,501,288,465,465
