,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,73,73,73,73,73,109.5,73,73,36.5,36.5,36.5,36.5
0.02,109.5,146,109.5,109.5,146,182.5,109.5,109.5,73,73,73,73
0.03,182.5,219,146,182.5,182.5,255.5,146,146,109.5,109.5,109.5,109.5
0.04,219,292,219,219,255.5,328.5,182.5,182.5,146,146,146,146
0.05,292,365,255.5,292,328.5,401.5,255.5,219,182.5,182.5,182.5,182.5
0.06,328.5,438,292,328.5,401.5,474.5,292,255.5,219,219,219,219
0.07,401.5,474.5,365,401.5,438,547.5,328.5,292,255.5,255.5,255.5,255.5
0.08,438,511,401.5,474.5,511,657,365,328.5,292,292,292,292
0.09,511,584,474.5,547.5,584,730,438,365,328.5,328.5,328.5,328.5
0.1,584,620.5,547.5,620.5,657,803,474.5,438,365,365,365,365
0.11,657,693.5,620.5,693.5,730,876,547.5,474.5,401.5,401.5,401.5,401.5
0.12,730,730,693.5,766.5,803,985.5,584,547.5,438,438,438,438
0.13,766.5,803,766.5,839.5,912.5,1058.5,657,584,474.5,474.5,474.5,474.5
0.14,839.5,839.5,876,912.5,985.5,1131.5,693.5,657,511,511,511,511
0.15,912.5,912.5,949,1022,1058.5,1241,766.5,730,547.5,547.5,547.5,547.5
0.16,985.5,949,1022,1095,1131.5,1314,803,766.5,584,584,584,584
0.17,1058.5,1022,1095,1168,1204.5,1387,876,839.5,620.5,620.5,620.5,620.5
0.18,1131.5,1095,1168,1241,1277.5,1496.5,912.5,912.5,657,657,657,657
0.19,1204.5,1131.5,1241,1350.5,1350.5,1569.5,985.5,949,693.5,693.5,693.5,693.5
0.2,1277.5,1204.5,1314,1423.5,1460,1679,1022,1022,730,730,730,730
0.21,1350.5,1241,1423.5,1496.5,1533,1752,1095,1095,766.5,766.5,766.5,766.5
0.22,1423.5,1314,1496.5,1606,1606,1861.5,1168,1168,839.5,803,839.5,803
0.23,1496.5,1387,1569.5,1679,1679,1934.5,1204.5,1204.5,876,839.5,876,839.5
0.24,1569.5,1460,1679,1788.5,1788.5,1971,1277.5,1277.5,912.5,876,912.5,876
0.25,1642.5,1496.5,1752,1861.5,1861.5,2044,1350.5,1350.5,949,949,949,949
0.26,1752,1569.5,1825,1971,1934.5,2117,1387,1423.5,985.5,985.5,985.5,985.5
0.27,1825,1642.5,1934.5,2044,2007.5,2190,1460,1496.5,1022,1022,1022,1022
0.28,1898,1715.5,2007.5,2153.5,2080.5,2263,1533,1569.5,1095,1058.5,1095,1058.5
0.29,2007.5,1752,2080.5,2226.5,2153.5,2336,1606,1642.5,1131.5,1095,1131.5,1095
0.3,2080.5,1825,2190,2336,2226.5,2409,1642.5,1679,1168,1131.5,1168,1131.5
0.31,2153.5,1934.5,2263,2409,2299.5,2482,1715.5,1752,1204.5,1204.5,1204.5,1204.5
0.32,2263,2007.5,2372.5,2518.5,2372.5,2555,1788.5,1825,1277.5,1241,1277.5,1241
0.33,2372.5,2117,2445.5,2628,2445.5,2628,1861.5,1898,1314,1277.5,1314,1277.5
0.34,2445.5,2226.5,2555,2737.5,2518.5,2701,1898,1971,1350.5,1314,1350.5,1314
0.35,2555,2299.5,2628,2810.5,2628,2774,1971,2044,1387,1387,1387,1387
0.36,2628,2409,2737.5,2920,2701,2883.5,2007.5,2117,1460,1423.5,1460,1423.5
0.37,2737.5,2518.5,2847,3029.5,2774,2956.5,2080.5,2190,1496.5,1460,1496.5,1460
0.38,2847,2628,2920,3139,2847,3029.5,2153.5,2263,1569.5,1533,1569.5,1533
0.39,2956.5,2737.5,3029.5,3248.5,2956.5,3102.5,2190,2336,1606,1569.5,1606,1569.5
0.4,3066,2810.5,3139,3358,3029.5,3212,2263,2409,1642.5,1606,1642.5,1606
0.41,3139,2920,3248.5,3467.5,3102.5,3285,2336,2482,1715.5,1679,1715.5,1679
0.42,3248.5,3029.5,3358,3577,3212,3358,2372.5,2555,1752,1715.5,1752,1715.5
0.43,3358,3139,3467.5,3686.5,3285,3467.5,2445.5,2628,1825,1788.5,1825,1788.5
0.44,3504,3285,3577,3796,3394.5,3540.5,2518.5,2701,1861.5,1825,1861.5,1825
0.45,3613.5,3394.5,3686.5,3942,3504,3650,2591.5,2774,1898,1861.5,1898,1861.5
0.46,3723,3504,3796,4051.5,3577,3723,2628,2847,1934.5,1898,1934.5,1898
0.47,3832.5,3613.5,3905.5,4197.5,3686.5,3832.5,2701,2920,2007.5,1934.5,2007.5,1934.5
0.48,3942,3759.5,4015,4307,3796,3942,2774,3029.5,2044,1971,2044,1971
0.49,4088,3869,4161,4453,3869,4015,2847,3102.5,2080.5,2007.5,2080.5,2007.5
0.5,4197.5,4015,4270.5,4562.5,3978.5,4124.5,2920,3175.5,2117,2080.5,2117,2080.5
0.51,4343.5,4124.5,4416.5,4708.5,4088,4234,2993,3285,2153.5,2117,2153.5,2117
0.52,4453,4270.5,4526,4854.5,4197.5,4343.5,3066,3358,2226.5,2153.5,2226.5,2153.5
0.53,4599,4380,4672,4964,4307,4453,3139,3467.5,2263,2190,2263,2190
0.54,4708.5,4526,4781.5,5110,4416.5,4562.5,3248.5,3577,2299.5,2226.5,2299.5,2226.5
0.55,4854.5,4672,4927.5,5256,4526,4672,3321.5,3650,2372.5,2263,2372.5,2263
0.56,5000.5,4818,5073.5,5438.5,4672,4781.5,3394.5,3759.5,2409,2336,2409,2336
0.57,5146.5,4964,5219.5,5584.5,4781.5,4891,3467.5,3869,2445.5,2372.5,2445.5,2372.5
0.58,5292.5,5110,5365.5,5730.5,4891,5037,3577,3942,2518.5,2409,2518.5,2409
