,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,1,1,1,1,1,1,1,1,5,1,9,9
0.02,2,4,4,1,5,2,4,4,6,1,9,9
0.03,4,5,5,1,5,5,5,5,6,7,9,9
0.04,5,5,6,2,6,5,6,6,6,7,9,9
0.05,6,6,6,4,6,5,6,7,7,7,9,9
0.06,6,6,6,5,7,6,7,7,7,7,9,9
0.07,7,7,7,5,7,6,7,7,7,7,12,12
0.08,7,7,7,5,7,7,7,8,7,8,12,12
0.09,7,7,8,6,8,7,8,8,8,8,12,12
0.1,8,7,8,6,8,8,8,10,8,8,34,34
0.11,8,8,9,6,9,8,8,10,9,9,34,34
0.12,9,8,9,9,10,9,9,11,9,9,34,34
0.13,10,9,10,10,11,10,10,11,9,12,54,54
0.14,11,11,12,10,13,11,11,12,10,12,54,54
0.15,12,12,12,12,14,11,12,15,12,12,54,54
0.16,15,13,14,13,15,12,14,15,13,14,54,54
0.17,19,14,16,14,18,12,15,23,14,14,87,87
0.18,20,19,19,20,22,14,18,23,16,21,87,87
0.19,25,26,26,23,26,15,21,26,19,21,87,87
0.2,28,27,32,27,31,16,26,31,20,21,97,97
0.21,34,35,34,28,35,20,30,31,23,35,97,97
0.22,37,46,41,30,41,24,34,35,30,35,97,97
0.23,42,49,46,32,46,29,39,38,32,35,102,102
0.24,49,57,55,35,53,40,46,45,35,39,102,102
0.25,57,65,65,37,63,45,50,54,37,39,102,102
0.26,69,75,69,50,74,48,57,61,45,40,102,102
0.27,83,82,79,51,89,57,66,69,49,40,136,136
0.28,90,88,90,67,101,58,79,82,53,40,136,136
0.29,100,98,96,73,111,90,89,83,59,46,136,136
0.3,107,112,107,94,129,110,94,100,73,46,147,147
0.31,123,125,114,110,140,110,101,103,85,47,147,147
0.32,128,133,125,118,154,111,109,104,94,47,147,147
0.33,138,142,135,131,166,112,120,120,100,47,147,147
0.34,148,160,143,139,179,125,129,124,109,49,155,155
0.35,172,170,157,159,197,126,147,146,132,49,155,155
0.36,187,200,172,175,217,128,158,149,133,82,155,155
0.37,204,230,182,213,238,132,173,153,147,82,167,167
0.38,227,261,203,218,263,141,186,171,161,82,167,167
0.39,258,292,217,219,286,167,203,172,177,104,167,167
0.4,304,316,232,234,330,171,212,185,188,104,167,167
0.41,330,342,257,273,371,174,229,211,198,104,206,206
0.42,362,373,292,307,428,209,259,221,210,168,206,206
0.43,408,398,335,357,494,236,272,240,235,168,206,206
0.44,448,477,391,376,568,238,289,260,297,168,322,322
0.45,566,542,491,404,667,279,313,273,315,509,322,322
0.46,671,564,563,410,853,281,362,309,398,509,322,322
0.47,751,609,763,432,987,302,412,391,512,509,322,322
0.48,822,731,917,455,1324,327,497,453,640,675,351,351
0.49,908,785,959,596,1524,373,594,518,729,675,351,351
0.5,981,925,1105,597,1762,631,684,594,912,675,351,351
0.51,1098,1006,1187,637,1910,672,820,621,1091,711,906,906
0.52,1286,1113,1312,681,2176,729,1014,639,1407,711,906,906
0.53,1407,1286,1412,804,2341,1049,1223,853,1516,711,906,906
0.54,1540,1354,1573,1123,2642,1086,1546,943,1683,926,906,906
0.55,1645,1434,1835,1125,2859,1100,1875,1399,1888,926,973,973
0.56,1730,1552,1966,1274,2946,1254,2073,1424,2162,926,973,973
0.57,1826,1732,2120,1317,3203,1401,2194,1631,2238,1160,973,973
0.58,1904,1774,2268,1507,3336,1434,2702,1674,2334,1160,973,973
0.59,1994,1979,2464,1737,3649,1468,2931,1823,2925,1160,4750,4750
0.6,2049,2067,2530,2461,3885,1507,3000,1861,3093,1160,4750,4750
0.61,2242,2168,2756,2553,4207,1531,3122,2124,3255,1982,4750,4750
0.62,2378,2482,2975,2989,4227,1596,3231,2124,4750,1982,4750,4750
0.63,2471,2635,3106,2989,4397,1604,3352,2415,4750,1982,4750,4750
