,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,73,73,109.5,109.5,73,73,73,73,73,36.5,73,36.5
0.02,146,109.5,182.5,219,146,109.5,146,146,146,73,146,73
0.03,219,146,255.5,292,219,146,182.5,219,182.5,109.5,182.5,109.5
0.04,292,219,328.5,401.5,292,219,255.5,292,255.5,146,255.5,146
0.05,365,255.5,401.5,511,365,255.5,328.5,365,328.5,182.5,328.5,182.5
0.06,474.5,292,474.5,620.5,474.5,292,365,438,365,219,365,219
0.07,547.5,328.5,584,730,584,365,438,511,438,255.5,438,255.5
0.08,620.5,401.5,657,839.5,693.5,438,511,620.5,474.5,292,474.5,292
0.09,693.5,511,766.5,949,803,547.5,584,693.5,547.5,328.5,547.5,328.5
0.1,766.5,620.5,839.5,1058.5,912.5,657,657,766.5,584,328.5,584,328.5
0.11,876,730,949,1168,1022,766.5,730,839.5,657,365,657,365
0.12,949,803,1022,1314,1131.5,876,839.5,912.5,693.5,438,693.5,438
0.13,1022,912.5,1131.5,1423.5,1241,1022,912.5,1022,766.5,474.5,766.5,474.5
0.14,1131.5,1022,1204.5,1533,1350.5,1131.5,985.5,1095,803,511,803,511
0.15,1204.5,1131.5,1314,1642.5,1460,1241,1058.5,1168,876,547.5,876,547.5
0.16,1277.5,1241,1423.5,1788.5,1606,1387,1131.5,1277.5,912.5,620.5,912.5,620.5
0.17,1387,1350.5,1496.5,1898,1715.5,1496.5,1241,1350.5,985.5,657,985.5,657
0.18,1460,1460,1606,1971,1825,1606,1314,1423.5,1058.5,693.5,1058.5,693.5
0.19,1569.5,1569.5,1715.5,2080.5,1934.5,1752,1387,1533,1095,730,1095,730
0.2,1642.5,1715.5,1825,2153.5,2007.5,1861.5,1496.5,1606,1168,803,1168,803
0.21,1752,1825,1934.5,2263,2117,1934.5,1569.5,1715.5,1241,839.5,1241,839.5
0.22,1825,1934.5,2007.5,2336,2190,2007.5,1642.5,1788.5,1277.5,876,1277.5,876
0.23,1934.5,2044,2117,2445.5,2299.5,2080.5,1752,1898,1350.5,949,1350.5,949
0.24,2007.5,2153.5,2226.5,2555,2372.5,2190,1825,1934.5,1423.5,985.5,1423.5,985.5
0.25,2117,2263,2336,2628,2482,2263,1934.5,2007.5,1496.5,1058.5,1496.5,1058.5
0.26,2190,2372.5,2445.5,2737.5,2591.5,2336,2007.5,2080.5,1533,1095,1533,1095
0.27,2299.5,2482,2555,2847,2664.5,2409,2080.5,2153.5,1606,1168,1606,1168
0.28,2409,2628,2664.5,2956.5,2774,2518.5,2190,2226.5,1679,1204.5,1679,1204.5
0.29,2482,2737.5,2774,3029.5,2883.5,2591.5,2263,2299.5,1752,1241,1752,1241
0.3,2591.5,2847,2883.5,3139,2993,2701,2372.5,2372.5,1825,1314,1825,1314
0.31,2701,2993,3029.5,3248.5,3102.5,2774,2445.5,2445.5,1861.5,1387,1861.5,1387
0.32,2810.5,3102.5,3139,3358,3175.5,2847,2555,2518.5,1898,1423.5,1898,1423.5
0.33,2883.5,3248.5,3248.5,3467.5,3285,2956.5,2628,2591.5,1971,1496.5,1971,1496.5
0.34,2993,3358,3358,3577,3394.5,3029.5,2737.5,2664.5,2007.5,1533,2007.5,1533
0.35,3102.5,3504,3504,3686.5,3504,3139,2847,2774,2044,1606,2044,1606
0.36,3212,3650,3613.5,3796,3650,3248.5,2920,2847,2080.5,1679,2080.5,1679
0.37,3321.5,3759.5,3759.5,3942,3759.5,3321.5,3029.5,2920,2153.5,1715.5,2153.5,1715.5
0.38,3431,3905.5,3869,4051.5,3869,3431,3139,2993,2190,1788.5,2190,1788.5
0.39,3540.5,4051.5,4015,4161,3978.5,3540.5,3248.5,3102.5,2226.5,1861.5,2226.5,1861.5
0.4,3650,4197.5,4124.5,4307,4088,3613.5,3321.5,3175.5,2299.5,1898,2299.5,1898
0.41,3796,4343.5,4270.5,4416.5,4234,3723,3431,3248.5,2336,1971,2336,1971
0.42,3905.5,4489.5,4416.5,4526,4343.5,3832.5,3540.5,3358,2372.5,2007.5,2372.5,2007.5
0.43,4015,4635.5,4562.5,4672,4489.5,3942,3650,3431,2445.5,2080.5,2445.5,2080.5
0.44,4161,4781.5,4708.5,4818,4599,4051.5,3759.5,3540.5,2482,2117,2482,2117
0.45,4270.5,4927.5,4854.5,4927.5,4745,4161,3869,3613.5,2555,2190,2555,2190
0.46,4416.5,5110,5000.5,5073.5,4854.5,4270.5,4015,3723,2591.5,2263,2591.5,2263
0.47,4526,5256,5146.5,5219.5,5000.5,4380,4124.5,3796,2664.5,2299.5,2664.5,2299.5
0.48,4672,5438.5,5292.5,5365.5,5146.5,4526,4234,3905.5,2701,2372.5,2701,2372.5
0.49,4818,5584.5,5438.5,5511.5,5292.5,4635.5,4380,4015,2774,2445.5,2774,2445.5
0.5,4927.5,5767,5621,5657.5,5438.5,4745,4489.5,4124.5,2810.5,2518.5,2810.5,2518.5
0.51,5073.5,5949.5,5767,5803.5,5584.5,4891,4635.5,4234,2883.5,2591.5,2883.5,2591.5
0.52,5219.5,6095.5,5949.5,5949.5,5730.5,5000.5,4745,4307,2956.5,2628,2956.5,2628
0.53,5365.5,6278,6095.5,6095.5,5876.5,5146.5,4891,4416.5,2993,2701,2993,2701
0.54,5511.5,6497,6278,6241.5,6022.5,5256,5000.5,4526,3066,2774,3066,2774
0.55,5657.5,6679.5,6460.5,6424,6205,5402,5146.5,4672,3139,2847,3139,2847
0.56,5840,6862,6643,6606.5,6351,5548,5292.5,4781.5,3212,2920,3212,2920
0.57,5986,7044.5,6825.5,6752.5,6533.5,5694,5438.5,4891,3248.5,2993,3248.5,2993
0.58,6168.5,7263.5,7008,6935,6679.5,5840,5584.5,5000.5,3321.5,3066,3321.5,3066
0.59,6314.5,7263.5,7190.5,7117.5,6862,5986,5730.5,5146.5,3394.5,3175.5,3394.5,3175.5
0.6,6497,7263.5,7190.5,7300,7044.5,6132,5913,5256,3467.5,3248.5,3467.5,3248.5
0.61,6679.5,7263.5,7190.5,7300,7227,6278,6059,5402,3540.5,3321.5,3540.5,3321.5
0.62,6862,7263.5,7190.5,7300,7227,6424,6241.5,5548,3613.5,3431,3613.5,3431
0.63,7044.5,7263.5,7190.5,7300,7227,6606.5,6387.5,5657.5,3686.5,3504,3686.5,3504
0.64,7227,7263.5,7190.5,7300,7227,6752.5,6570,5803.5,3796,3577,3796,3577
0.65,7227,7263.5,7190.5,7300,7227,6935,6752.5,5949.5,3869,3686.5,3869,3686.5
0.66,7227,7263.5,7190.5,7300,7227,7117.5,6935,6095.5,3942,3796,3942,3796
0.67,7227,7263.5,7190.5,7300,7227,7300,7117.5,6278,4051.5,3869,4051.5,3869
0.68,7227,7263.5,7190.5,7300,7227,7300,7300,6424,4124.5,3978.5,4124.5,3978.5
0.69,7227,7263.5,7190.5,7300,7227,7300,7300,6570,4234,4088,4234,4088
0.7,7227,7263.5,7190.5,7300,7227,7300,7300,6752.5,4307,4197.5,4307,4197.5
0.71,7227,7263.5,7190.5,7300,7227,7300,7300,6935,4416.5,4307,4416.5,4307
0.72,7227,7263.5,7190.5,7300,7227,7300,7300,7117.5,4526,4416.5,4526,4416.5
0.73,7227,7263.5,7190.5,7300,7227,7300,7300,7300,4635.5,4526,4635.5,4526
0.74,7227,7263.5,7190.5,7300,7227,7300,7300,7300,4745,4672,4745,4672
0.75,7227,7263.5,7190.5,7300,7227,7300,7300,7300,4854.5,4781.5,4854.5,4781.5
0.76,7227,7263.5,7190.5,7300,7227,7300,7300,7300,4964,4927.5,4964,4927.5
0.77,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5110,5073.5,5110,5073.5
0.78,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5219.5,5219.5,5219.5,5219.5
0.79,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5365.5,5365.5,5365.5,5365.5
0.8,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5511.5,5548,5511.5,5548
0.81,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5657.5,5694,5657.5,5694
0.82,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5840,5876.5,5840,5876.5
0.83,7227,7263.5,7190.5,7300,7227,7300,7300,7300,5986,6059,5986,6059
0.84,7227,7263.5,7190.5,7300,7227,7300,7300,7300,6168.5,6278,6168.5,6278
0.85,7227,7263.5,7190.5,7300,7227,7300,7300,7300,6351,6497,6351,6497
0.86,7227,7263.5,7190.5,7300,7227,7300,7300,7300,6570,6716,6570,6716
0.87,7227,7263.5,7190.5,7300,7227,7300,7300,7300,6789,6971.5,6789,6971.5
0.88,7227,7263.5,7190.5,7300,7227,7300,7300,7300,7008,7227,7008,7227
0.89,7227,7263.5,7190.5,7300,7227,7300,7300,7300,7263.5,7227,7263.5,7227
0.9,7227,7263.5,7190.5,7300,7227,7300,7300,7300,7263.5,7227,7263.5,7227
0.91,7227,7263.5,7190.5,7300,7227,7300,7300,7300,7263.5,7227,7263.5,7227
0.92,7227,7263.5,7190.5,7300,7227,7300,7300,7300,7263.5,7227,7263.5,7227
