,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,8,8,7,7,6,6,7,7,6,6,9,9
0.02,11,11,11,11,10,10,9,9,7,7,12,12
0.03,15,15,13,13,13,13,11,11,7,7,12,12
0.04,16,16,14,14,15,15,13,13,10,10,13,13
0.05,19,19,17,17,17,17,16,16,13,13,16,16
0.06,24,24,22,22,19,19,18,18,14,14,19,19
0.07,28,28,25,25,22,22,21,21,16,16,19,19
0.08,30,30,28,28,25,25,26,26,19,19,25,25
0.09,34,34,31,31,27,27,29,29,19,19,26,26
0.1,39,39,32,32,29,29,34,34,22,22,28,28
0.11,44,44,37,37,33,33,37,37,24,24,29,29
0.12,52,52,41,41,36,36,42,42,26,26,30,30
0.13,54,54,44,44,40,40,45,45,28,28,34,34
0.14,58,58,48,48,44,44,49,49,30,30,35,35
0.15,66,66,52,52,49,49,51,51,32,32,37,37
0.16,69,69,60,60,55,55,55,55,33,33,40,40
0.17,75,75,62,62,61,61,61,61,37,37,45,45
0.18,80,80,69,69,65,65,65,65,40,40,47,47
0.19,89,89,74,74,72,72,70,70,43,43,53,53
0.2,92,92,76,76,77,77,74,74,48,48,59,59
0.21,98,98,86,86,80,80,77,77,53,53,62,62
0.22,103,103,91,91,85,85,85,85,59,59,63,63
0.23,108,108,101,101,91,91,89,89,61,61,63,63
0.24,117,117,105,105,97,97,92,92,66,66,64,64
0.25,121,121,109,109,100,100,95,95,70,70,65,65
0.26,130,130,114,114,105,105,101,101,73,73,70,70
0.27,139,139,126,126,114,114,106,106,76,76,79,79
0.28,147,147,132,132,117,117,116,116,78,78,81,81
0.29,152,152,141,141,119,119,127,127,84,84,81,81
0.3,162,162,145,145,125,125,137,137,88,88,87,87
0.31,168,168,151,151,129,129,148,148,95,95,93,93
0.32,179,179,156,156,133,133,154,154,101,101,94,94
0.33,192,192,164,164,143,143,167,167,103,103,105,105
0.34,201,201,172,172,149,149,176,176,114,114,107,107
0.35,222,222,176,176,155,155,184,184,118,118,114,114
0.36,237,237,189,189,166,166,189,189,126,126,119,119
0.37,250,250,198,198,171,171,197,197,132,132,119,119
0.38,259,259,213,213,182,182,203,203,142,142,125,125
0.39,270,270,222,222,193,193,211,211,147,147,141,141
0.4,300,300,229,229,204,204,222,222,162,162,145,145
0.41,314,314,242,242,209,209,231,231,179,179,150,150
0.42,319,319,250,250,217,217,242,242,188,188,151,151
0.43,339,339,258,258,221,221,253,253,196,196,161,161
0.44,353,353,277,277,233,233,260,260,211,211,170,170
0.45,372,372,285,285,243,243,265,265,216,216,173,173
0.46,380,380,305,305,253,253,280,280,226,226,204,204
0.47,387,387,321,321,268,268,296,296,234,234,212,212
0.48,401,401,338,338,289,289,300,300,245,245,240,240
0.49,423,423,361,361,297,297,315,315,269,269,263,263
0.5,429,429,376,376,319,319,325,325,286,286,266,266
0.51,446,446,393,393,328,328,334,334,293,293,269,269
0.52,472,472,415,415,342,342,344,344,301,301,286,286
0.53,489,489,443,443,355,355,365,365,311,311,303,303
0.54,502,502,466,466,370,370,387,387,329,329,359,359
0.55,536,536,483,483,383,383,399,399,356,356,376,376
0.56,560,560,502,502,398,398,418,418,385,385,379,379
0.57,604,604,532,532,411,411,435,435,405,405,380,380
0.58,615,615,600,600,425,425,455,455,417,417,393,393
0.59,624,624,612,612,438,438,478,478,435,435,397,397
0.6,636,636,637,637,460,460,495,495,448,448,438,438
0.61,647,647,663,663,493,493,505,505,466,466,450,450
0.62,694,694,674,674,514,514,553,553,470,470,473,473
0.63,731,731,698,698,544,544,597,597,495,495,478,478
0.64,758,758,731,731,569,569,627,627,534,534,483,483
0.65,822,822,758,758,596,596,648,648,571,571,514,514
0.66,865,865,778,778,620,620,658,658,596,596,525,525
0.67,930,930,818,818,633,633,707,707,619,619,555,555
0.68,966,966,875,875,664,664,726,726,672,672,584,584
0.69,1104,1104,900,900,687,687,745,745,684,684,608,608
0.7,1174,1174,980,980,733,733,785,785,702,702,628,628
0.71,1249,1249,1046,1046,757,757,814,814,775,775,680,680
0.72,1324,1324,1113,1113,787,787,855,855,806,806,722,722
0.73,1464,1464,1178,1178,829,829,886,886,844,844,736,736
0.74,1660,1660,1214,1214,913,913,923,923,899,899,826,826
0.75,1740,1740,1373,1373,958,958,973,973,948,948,867,867
0.76,1916,1916,1473,1473,1002,1002,1006,1006,975,975,1001,1001
0.77,1971,1971,1565,1565,1032,1032,1057,1057,1022,1022,1001,1001
0.78,2199,2199,1660,1660,1093,1093,1106,1106,1065,1065,1197,1197
0.79,2240,2240,1777,1777,1156,1156,1129,1129,1082,1082,1290,1290
0.8,2445,2445,1912,1912,1220,1220,1284,1284,1116,1116,1290,1290
0.81,2697,2697,2180,2180,1278,1278,1359,1359,1166,1166,1299,1299
0.82,2709,2709,2556,2556,1359,1359,1440,1440,1234,1234,1299,1299
0.83,2966,2966,2973,2973,1422,1422,1497,1497,1276,1276,1512,1512
0.84,3136,3136,3499,3499,1467,1467,1525,1525,1316,1316,1512,1512
0.85,3202,3202,3594,3594,1528,1528,1624,1624,1405,1405,1597,1597
0.86,4750,4750,4750,4750,1624,1624,1691,1691,1626,1626,1943,1943
0.87,4750,4750,4750,4750,1807,1807,1775,1775,1692,1692,1943,1943
0.88,4750,4750,4750,4750,2057,2057,1947,1947,1793,1793,3015,3015
0.89,4750,4750,4750,4750,2203,2203,2097,2097,1882,1882,3015,3015
0.9,4750,4750,4750,4750,2335,2335,2613,2613,1909,1909,3015,3015
0.91,4750,4750,4750,4750,2495,2495,2898,2898,2153,2153,3015,3015
0.92,4750,4750,4750,4750,2957,2957,3027,3027,2283,2283,4750,4750
0.93,4750,4750,4750,4750,3304,3304,3199,3199,2317,2317,4750,4750
0.94,4750,4750,4750,4750,4750,4750,3872,3872,2500,2500,4750,4750
0.95,4750,4750,4750,4750,4750,4750,4750,4750,2919,2919,4750,4750
0.96,4750,4750,4750,4750,4750,4750,4750,4750,3537,3537,4750,4750
0.97,4750,4750,4750,4750,4750,4750,4750,4750,4070,4070,4750,4750
0.98,4750,4750,4750,4750,4750,4750,4750,4750,4309,4309,4750,4750
0.99,4750,4750,4750,4750,4750,4750,4750,4750,4330,4330,4750,4750
