,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,131,131,2,2,13,13,7,7,33,33,98,98
0.02,131,131,2,2,41,41,8,8,33,33,98,98
0.03,131,131,20,20,41,41,8,8,33,33,98,98
0.04,131,131,20,20,43,43,26,26,49,49,98,98
0.05,207,207,42,42,48,48,26,26,49,49,98,98
0.06,207,207,42,42,48,48,42,42,49,49,98,98
0.07,207,207,42,42,68,68,42,42,49,49,98,98
0.08,207,207,53,53,68,68,54,54,53,53,98,98
0.09,207,207,53,53,90,90,54,54,53,53,98,98
0.1,284,284,65,65,111,111,57,57,53,53,98,98
0.11,284,284,65,65,111,111,57,57,53,53,98,98
0.12,284,284,79,79,116,116,89,89,100,100,98,98
0.13,284,284,79,79,116,116,89,89,100,100,151,151
0.14,308,308,79,79,120,120,99,99,100,100,151,151
0.15,308,308,102,102,144,144,99,99,100,100,151,151
0.16,308,308,102,102,144,144,131,131,127,127,151,151
0.17,308,308,112,112,174,174,146,146,127,127,151,151
0.18,308,308,112,112,174,174,146,146,127,127,151,151
0.19,544,544,112,112,176,176,148,148,127,127,151,151
0.2,544,544,214,214,192,192,148,148,145,145,151,151
0.21,544,544,214,214,192,192,152,152,145,145,151,151
0.22,544,544,236,236,210,210,152,152,145,145,151,151
0.23,805,805,236,236,214,214,153,153,145,145,151,151
0.24,805,805,243,243,214,214,153,153,152,152,151,151
0.25,805,805,243,243,214,214,193,193,152,152,170,170
0.26,805,805,243,243,214,214,193,193,152,152,189,189
0.27,805,805,272,272,216,216,196,196,173,173,189,189
0.28,839,839,272,272,243,243,196,196,173,173,189,189
0.29,839,839,323,323,243,243,253,253,173,173,189,189
0.3,839,839,323,323,259,259,253,253,173,173,189,189
0.31,839,839,335,335,259,259,269,269,273,273,189,189
0.32,980,980,335,335,260,260,269,269,273,273,189,189
0.33,980,980,335,335,274,274,295,295,273,273,189,189
0.34,980,980,385,385,274,274,335,335,273,273,189,189
0.35,980,980,385,385,280,280,335,335,286,286,189,189
0.36,980,980,398,398,280,280,340,340,286,286,189,189
0.37,1061,1061,398,398,302,302,340,340,286,286,189,189
0.38,1061,1061,398,398,324,324,344,344,286,286,223,223
0.39,1061,1061,475,475,324,324,344,344,349,349,223,223
0.4,1061,1061,475,475,404,404,357,357,349,349,223,223
0.41,1110,1110,615,615,428,428,357,357,349,349,223,223
0.42,1110,1110,615,615,428,428,403,403,349,349,223,223
0.43,1110,1110,628,628,454,454,403,403,396,396,223,223
0.44,1110,1110,628,628,454,454,407,407,396,396,223,223
0.45,1110,1110,628,628,469,469,407,407,396,396,223,223
0.46,1175,1175,635,635,495,495,422,422,396,396,223,223
0.47,1175,1175,635,635,495,495,422,422,403,403,223,223
0.48,1175,1175,636,636,502,502,459,459,403,403,223,223
0.49,1175,1175,636,636,502,502,459,459,403,403,223,223
0.5,1227.5,1227.5,688,688,578,578,550,550,407,407,223.5,223.5
0.51,1280,1280,740,740,600,600,567,567,411,411,224,224
0.52,1280,1280,740,740,600,600,567,567,411,411,224,224
0.53,1280,1280,839,839,617,617,620,620,411,411,224,224
0.54,1280,1280,839,839,617,617,620,620,441,441,224,224
0.55,1341,1341,842,842,678,678,632,632,441,441,224,224
0.56,1341,1341,842,842,731,731,632,632,441,441,224,224
0.57,1341,1341,842,842,731,731,657,657,441,441,224,224
0.58,1341,1341,1042,1042,791,791,657,657,461,461,224,224
0.59,1341,1341,1042,1042,791,791,767,767,461,461,224,224
0.6,1757,1757,1207,1207,828,828,767,767,461,461,224,224
0.61,1757,1757,1207,1207,841,841,833,833,461,461,224,224
0.62,1757,1757,1267,1267,841,841,833,833,498,498,224,224
0.63,1757,1757,1267,1267,903,903,909,909,498,498,622,622
0.64,2027,2027,1267,1267,953,953,909,909,498,498,622,622
0.65,2027,2027,1427,1427,953,953,1010,1010,498,498,622,622
0.66,2027,2027,1427,1427,1124,1124,1010,1010,618,618,622,622
0.67,2027,2027,1594,1594,1124,1124,1066,1066,618,618,622,622
0.68,2027,2027,1594,1594,1219,1219,1082,1082,618,618,622,622
0.69,4749,4749,1594,1594,1253,1253,1082,1082,618,618,622,622
0.7,4749,4749,1635,1635,1253,1253,1160,1160,643,643,622,622
0.71,4749,4749,1635,1635,1365,1365,1160,1160,643,643,622,622
0.72,4749,4749,1728,1728,1365,1365,1281,1281,643,643,622,622
0.73,4749,4749,1728,1728,1385,1385,1281,1281,643,643,622,622
0.74,4749,4749,1939,1939,1582,1582,1292,1292,718,718,622,622
0.75,4749,4749,1939,1939,1582,1582,1292,1292,718,718,953.5,953.5
0.76,4749,4749,1939,1939,1736,1736,1569,1569,718,718,1285,1285
0.77,4749,4749,2111,2111,1736,1736,1569,1569,1006,1006,1285,1285
0.78,4749,4749,2111,2111,1874,1874,1668,1668,1006,1006,1285,1285
0.79,4749,4749,2547,2547,1957,1957,1668,1668,1006,1006,1285,1285
0.8,4749,4749,2547,2547,1957,1957,1909,1909,1006,1006,1285,1285
0.81,4749,4749,3220,3220,2097,2097,1909,1909,1348,1348,1285,1285
0.82,4749,4749,3220,3220,2183,2183,2064,2064,1348,1348,1285,1285
0.83,4749,4749,3220,3220,2183,2183,2064,2064,1348,1348,1285,1285
0.84,4749,4749,4199,4199,2549,2549,2070,2070,1348,1348,1285,1285
0.85,4749,4749,4199,4199,2549,2549,2403,2403,1776,1776,1285,1285
0.86,4749,4749,4749,4749,2596,2596,2403,2403,1776,1776,1285,1285
0.87,4749,4749,4749,4749,2673,2673,3143,3143,1776,1776,1285,1285
0.88,4749,4749,4749,4749,2673,2673,3143,3143,1776,1776,1488,1488
0.89,4749,4749,4749,4749,2868,2868,3176,3176,2149,2149,1488,1488
0.9,4749,4749,4749,4749,2868,2868,3176,3176,2149,2149,1488,1488
0.91,4749,4749,4749,4749,3249,3249,3255,3255,2149,2149,1488,1488
0.92,4749,4749,4749,4749,4749,4749,3255,3255,2149,2149,1488,1488
0.93,4749,4749,4749,4749,4749,4749,4612,4612,2363,2363,1488,1488
0.94,4749,4749,4749,4749,4749,4749,4612,4612,2363,2363,1488,1488
0.95,4749,4749,4749,4749,4749,4749,4749,4749,2363,2363,1488,1488
0.96,4749,4749,4749,4749,4749,4749,4749,4749,2363,2363,1488,1488
0.97,4749,4749,4749,4749,4749,4749,4749,4749,2473,2473,1488,1488
0.98,4749,4749,4749,4749,4749,4749,4749,4749,2473,2473,1488,1488
0.99,4749,4749,4749,4749,4749,4749,4749,4749,2473,2473,1488,1488
