,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,2,1,1,2,2,1,3,2,3,3,4,3
0.02,4,3,3,4,3,2,4,5,5,5,7,5
0.03,5,4,4,6,5,4,7,7,8,10,11,8
0.04,6,5,6,6,6,5,9,8,10,13,14,10
0.05,7,6,8,7,8,7,11,10,13,18,23,14
0.06,8,7,9,8,9,8,14,12,17,21,29,18
0.07,11,8,11,9,11,10,16,14,21,25,35,25
0.08,13,9,13,11,14,12,20,19,25,30,40,30
0.09,14,10,15,14,16,14,24,23,30,34,51,31
0.1,16,11,16,16,19,16,28,27,35,42,60,41
0.11,19,12,19,20,21,18,33,32,41,46,69,47
0.12,21,13,22,22,25,20,38,36,46,53,83,53
0.13,24,14,24,27,29,25,43,42,54,59,98,60
0.14,26,15,27,30,32,29,48,46,60,65,112,71
0.15,29,16,30,32,36,33,55,51,67,71,130,74
0.16,33,18,33,37,41,36,60,56,73,76,152,81
0.17,36,19,35,41,44,42,66,63,84,83,174,96
0.18,39,22,39,43,48,43,72,69,93,100,202,118
0.19,43,25,43,49,53,48,78,79,105,108,244,125
0.2,47,27,48,53,58,55,86,87,115,113,296,141
0.21,51,31,53,60,62,59,95,91,127,121,406,177
0.22,57,33,59,72,68,62,104,96,140,131,539,192
0.23,61,35,63,79,72,66,115,104,155,139,791,223
0.24,65,38,70,88,78,72,127,114,173,152,1524,247
0.25,70,40,74,96,84,77,139,121,200,165,2730,307
0.26,78,43,78,104,92,84,153,133,224,173,3005,606
0.27,84,48,85,111,99,94,167,145,252,199,3005,807
0.28,91,51,93,122,109,106,181,154,284,218,4745,975
0.29,98,54,100,130,119,114,198,163,321,242,4745,1589
0.3,104,57,108,137,130,124,217,172,388,265,4745,4745
0.31,110,60,116,154,140,133,239,193,454,298,4745,4745
0.32,118,70,123,160,153,145,279,207,582,315,4745,4745
0.33,124,74,138,183,171,158,315,225,795,329,4745,4745
0.34,132,79,149,217,189,173,354,245,1066,376,4745,4745
0.35,141,84,158,238,205,185,398,271,1409,410,4745,4745
0.36,147,90,175,254,220,200,455,287,1880,481,4745,4745
0.37,168,101,195,271,248,206,525,341,3604,549,4745,4745
0.38,188,107,211,291,269,224,617,373,3896,655,4745,4745
0.39,205,114,233,361,296,236,730,413,4745,761,4745,4745
0.4,230,120,247,423,322,258,856,465,4745,1014,4745,4745
0.41,248,129,268,456,368,298,999,536,4745,1253,4745,4745
0.42,272,135,293,490,413,321,1256,591,4745,1903,4745,4745
0.43,294,142,321,518,453,348,1486,715,4745,4745,4745,4745
0.44,317,152,355,569,519,409,2118,821,4745,4745,4745,4745
0.45,352,163,383,597,580,485,4745,938,4745,4745,4745,4745
0.46,396,171,430,662,677,531,4745,1033,4745,4745,4745,4745
0.47,429,185,481,809,803,625,4745,1201,4745,4745,4745,4745
0.48,464,206,538,885,952,682,4745,1536,4745,4745,4745,4745
0.49,503,216,588,1022,1104,754,4745,1802,4745,4745,4745,4745
0.5,569,241,672,1370,1266,813,4745,4745,4745,4745,4745,4745
0.51,646,259,725,1589,1475,918,4745,4745,4745,4745,4745,4745
0.52,708,299,791,1723,1931,1071,4745,4745,4745,4745,4745,4745
0.53,793,320,912,1816,2219,1224,4745,4745,4745,4745,4745,4745
0.54,862,341,1039,3367,2831,1446,4745,4745,4745,4745,4745,4745
0.55,922,366,1182,3367,4745,1533,4745,4745,4745,4745,4745,4745
0.56,1096,447,1358,4745,4745,2671,4745,4745,4745,4745,4745,4745
0.57,1181,496,1744,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.58,1270,541,2050,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.59,1440,580,2879,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.6,1671,625,4351,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.61,1809,746,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.62,2096,874,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.63,2781,950,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.64,2933,1263,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.65,4745,1342,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.66,4745,1495,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.67,4745,1732,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.68,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.69,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.7,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.71,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.72,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.73,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.74,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.75,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.76,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.77,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.78,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.79,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.8,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
