,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,13,13,26,26,6,6,5,5,6,6,19,19
0.02,18,18,32,32,18,18,11,11,8,8,19,19
0.03,26,26,34,34,25,25,18,18,18,18,32,32
0.04,28,28,39,39,39,39,25,25,20,20,32,32
0.05,29,29,40,40,46,46,34,34,25,25,32,32
0.06,60,60,60,60,47,47,42,42,40,40,32,32
0.07,67,67,66,66,61,61,48,48,40,40,48,48
0.08,75,75,70,70,67,67,51,51,42,42,48,48
0.09,78,78,74,74,71,71,55,55,55,55,48,48
0.1,90,90,74,74,81,81,56,56,57,57,63,63
0.11,96,96,84,84,88,88,61,61,60,60,63,63
0.12,112,112,102,102,94,94,71,71,71,71,69,69
0.13,116,116,117,117,100,100,83,83,71,71,69,69
0.14,126,126,118,118,109,109,88,88,82,82,76,76
0.15,140,140,138,138,116,116,96,96,84,84,76,76
0.16,148,148,148,148,118,118,102,102,91,91,85,85
0.17,165,165,174,174,131,131,106,106,96,96,85,85
0.18,173,173,221,221,138,138,113,113,112,112,85,85
0.19,179,179,222,222,153,153,117,117,119,119,103,103
0.2,188,188,250,250,158,158,125,125,126.5,126.5,103,103
0.21,190,190,271,271,176,176,139,139,141,141,105,105
0.22,193,193,302,302,207,207,149,149,144,144,105,105
0.23,246,246,312,312,221,221,152,152,167,167,109,109
0.24,265,265,319,319,233,233,158,158,168,168,109,109
0.25,272,272,348,348,236,236,165,165,179,179,124.5,124.5
0.26,291,291,363,363,257,257,179,179,189,189,140,140
0.27,306,306,389,389,271,271,186,186,200,200,140,140
0.28,334,334,391,391,291,291,190,190,201,201,161,161
0.29,336,336,411,411,298,298,203,203,207,207,161,161
0.3,340,340,442,442,312,312,235,235,229,229,171,171
0.31,377,377,445,445,314,314,245,245,235,235,171,171
0.32,390,390,489,489,326,326,251,251,237,237,176,176
0.33,406,406,510,510,347,347,263,263,256,256,176,176
0.34,421,421,540,540,349,349,326,326,257,257,176,176
0.35,448,448,546,546,376,376,340,340,260,260,186,186
0.36,452,452,560,560,383,383,382,382,266,266,186,186
0.37,459,459,564,564,393,393,396,396,270,270,245,245
0.38,502,502,567,567,433,433,431,431,293,293,245,245
0.39,536,536,607,607,440,440,442,442,300,300,256,256
0.4,547.5,547.5,663,663,474,474,453,453,308.5,308.5,256,256
0.41,559,559,666,666,496,496,466,466,312,312,259,259
0.42,592,592,670,670,522,522,516,516,314,314,259,259
0.43,641,641,673,673,543,543,530,530,392,392,259,259
0.44,648,648,685,685,550,550,557,557,403,403,263,263
0.45,655,655,701,701,581,581,574,574,418,418,263,263
0.46,676,676,708,708,610,610,588,588,452,452,305,305
0.47,678,678,743,743,636,636,622,622,454,454,305,305
0.48,690,690,784,784,659,659,635,635,459,459,307,307
0.49,713,713,791,791,673,673,650,650,481,481,307,307
0.5,722,722,810,810,678,678,672,672,481,481,324,324
0.51,755,755,830,830,686,686,683,683,484,484,341,341
0.52,799,799,838,838,698,698,690,690,501,501,341,341
0.53,820,820,853,853,753,753,691,691,546,546,379,379
0.54,851,851,906,906,802,802,697,697,558,558,379,379
0.55,865,865,911,911,805,805,713,713,567,567,383,383
0.56,868,868,920,920,844,844,741,741,609,609,383,383
0.57,868,868,944,944,868,868,753,753,629,629,385,385
0.58,915,915,1019,1019,936,936,761,761,634,634,385,385
0.59,923,923,1061,1061,942,942,769,769,637,637,385,385
0.6,948,948,1063,1063,960,960,774,774,650.5,650.5,420,420
0.61,1014,1014,1098,1098,993,993,811,811,662,662,420,420
0.62,1019,1019,1105,1105,999,999,859,859,683,683,512,512
