,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,7,7,8,8,7,7,7,7,8,8,7,7
0.02,9,9,11,11,10,10,9,9,11,11,9,9
0.03,10,10,14,14,14,14,12,12,14,14,11,11
0.04,12,12,17,17,15,15,14,14,17,17,15,15
0.05,14,14,20,20,20,20,17,17,20,20,17,17
0.06,17,17,23,23,23,23,21,21,23,23,19,19
0.07,21,21,26,26,26,26,25,25,28,28,22,22
0.08,23,23,29,29,30,30,29,29,33,33,24,24
0.09,27,27,32,32,35,35,34,34,36,36,28,28
0.1,29,29,36,36,37,37,40,40,41,41,32,32
0.11,35,35,40,40,42,42,46,46,47,47,35,35
0.12,37,37,44,44,48,48,52,52,52,52,39,39
0.13,42,42,48,48,53,53,58,58,57,57,42,42
0.14,46,46,53,53,58,58,65,65,63,63,44,44
0.15,50,50,58,58,63,63,72,72,70,70,50,50
0.16,56,56,63,63,70,70,77,77,77,77,54,54
0.17,60,60,69,69,74,74,84,84,83,83,58,58
0.18,65,65,75,75,78,78,91,91,91,91,64,64
0.19,70,70,84,84,85,85,100,100,99,99,72,72
0.2,75,75,90,90,93,93,108,108,108,108,78,78
0.21,81,81,97,97,100,100,115,115,120,120,87,87
0.22,87,87,106,106,112,112,126,126,129,129,93,93
0.23,95,95,111,111,118,118,136,136,136,136,99,99
0.24,100,100,119,119,129,129,142,142,144,144,108,108
0.25,106,106,124,124,138,138,149,149,158,158,114,114
0.26,110,110,130,130,145,145,159,159,170,170,122,122
0.27,117,117,136,136,152,152,168,168,183,183,131,131
0.28,122,122,144,144,157,157,177,177,192,192,142,142
0.29,130,130,151,151,166,166,186,186,203,203,152,152
0.3,136,136,161,161,176,176,195,195,214,214,159,159
0.31,143,143,171,171,187,187,207,207,227,227,168,168
0.32,150,150,180,180,196,196,218,218,238,238,178,178
0.33,157,157,188,188,205,205,228,228,251,251,186,186
0.34,161,161,196,196,212,212,238,238,263,263,196,196
0.35,168,168,204,204,220,220,252,252,279,279,205,205
0.36,176,176,210,210,226,226,262,262,289,289,214,214
0.37,179,179,220,220,234,234,277,277,305,305,226,226
0.38,187,187,229,229,244,244,286,286,315,315,241,241
0.39,190,190,243,243,253,253,295,295,331,331,251,251
0.4,202,202,254,254,263,263,307,307,342,342,265,265
0.41,210,210,264,264,270,270,322,322,356,356,276,276
0.42,219,219,272,272,279,279,332,332,372,372,284,284
0.43,226,226,282,282,290,290,346,346,384,384,298,298
0.44,234,234,291,291,298,298,363,363,395,395,307,307
0.45,244,244,302,302,308,308,373,373,406,406,320,320
0.46,250,250,317,317,318,318,380,380,416,416,333,333
0.47,257,257,323,323,328,328,393,393,432,432,347,347
0.48,266,266,338,338,339,339,406,406,451,451,367,367
0.49,274,274,350,350,351,351,415,415,464,464,376,376
0.5,282,282,357,357,361,361,436,436,480,480,389,389
0.51,292,292,371,371,373,373,451,451,495,495,406,406
0.52,302,302,384,384,390,390,463,463,510,510,425,425
0.53,309,309,398,398,406,406,474,474,528,528,443,443
0.54,319,319,405,405,420,420,493,493,549,549,460,460
0.55,329,329,420,420,429,429,509,509,569,569,474,474
0.56,339,339,437,437,442,442,527,527,588,588,490,490
0.57,354,354,448,448,458,458,545,545,604,604,506,506
0.58,371,371,457,457,470,470,564,564,619,619,525,525
0.59,379,379,468,468,489,489,582,582,639,639,550,550
0.6,392,392,479,479,498,498,593,593,653,653,577,577
0.61,403,403,492,492,509,509,607,607,680,680,593,593
0.62,413,413,500,500,527,527,629,629,701,701,610,610
0.63,421,421,511,511,540,540,659,659,724,724,632,632
0.64,444,444,532,532,558,558,672,672,752,752,652,652
0.65,460,460,550,550,571,571,693,693,769,769,671,671
0.66,472,472,571,571,589,589,706,706,792,792,686,686
0.67,487,487,582,582,606,606,727,727,821,821,714,714
0.68,500,500,598,598,624,624,744,744,848,848,737,737
0.69,517,517,629,629,637,637,772,772,871,871,758,758
0.7,529,529,644,644,662,662,798,798,898,898,786,786
0.71,546,546,662,662,678,678,819,819,923,923,806,806
0.72,560,560,683,683,707,707,841,841,962,962,826,826
0.73,574,574,697,697,735,735,869,869,987,987,856,856
0.74,590,590,714,714,747,747,891,891,1020,1020,879,879
0.75,605,605,729,729,775,775,923,923,1051,1051,913,913
0.76,625,625,754,754,800,800,944,944,1095,1095,946,946
0.77,632,632,776,776,830,830,979,979,1142,1142,983,983
0.78,654,654,799,799,848,848,1008,1008,1181,1181,1016,1016
0.79,665,665,829,829,874,874,1038,1038,1215,1215,1074,1074
0.8,680,680,859,859,903,903,1067,1067,1248,1248,1111,1111
0.81,710,710,873,873,922,922,1090,1090,1284,1284,1156,1156
0.82,732,732,895,895,944,944,1131,1131,1316,1316,1181,1181
0.83,760,760,935,935,980,980,1169,1169,1392,1392,1221,1221
0.84,787,787,952,952,1015,1015,1211,1211,1420,1420,1268,1268
0.85,811,811,994,994,1044,1044,1248,1248,1459,1459,1320,1320
0.86,842,842,1029,1029,1081,1081,1305,1305,1514,1514,1380,1380
0.87,888,888,1055,1055,1126,1126,1364,1364,1594,1594,1516,1516
0.88,925,925,1109,1109,1206,1206,1425,1425,1664,1664,1577,1577
0.89,973,973,1152,1152,1235,1235,1502,1502,1702,1702,1660,1660
0.9,1022,1022,1207,1207,1282,1282,1583,1583,1807,1807,1746,1746
0.91,1068,1068,1265,1265,1349,1349,1665,1665,1906,1906,1875,1875
0.92,1130,1130,1303,1303,1435,1435,1723,1723,2006,2006,1959,1959
0.93,1193,1193,1340,1340,1563,1563,1796,1796,2042,2042,2082,2082
0.94,1308,1308,1420,1420,1675,1675,1877,1877,2106,2106,2238,2238
0.95,1405,1405,1585,1585,1749,1749,1978,1978,2235,2235,2386,2386
0.96,1644,1644,1752,1752,1915,1915,2241,2241,2501,2501,2457,2457
0.97,1841,1841,2009,2009,2074,2074,2623,2623,2604,2604,2656,2656
0.98,2197,2197,2261,2261,2384,2384,3340,3340,2971,2971,2775,2775
0.99,2564,2564,2475,2475,3329,3329,4750,4750,3558,3558,3801,3801
