,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
0.02,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
0.03,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
0.04,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
0.05,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5
0.06,73,73,73,73,73,73,73,73,73,73,73,73
0.07,73,73,73,73,73,73,73,73,73,73,73,73
0.08,73,73,73,73,73,73,73,73,73,73,73,73
0.09,73,73,73,73,73,73,73,73,73,73,73,73
0.1,73,73,73,73,73,73,73,73,73,73,73,73
0.11,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5
0.12,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5
0.13,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5
0.14,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5,109.5
0.15,146,146,146,146,146,146,146,146,146,146,146,146
0.16,146,146,146,146,146,146,146,146,146,146,146,146
0.17,146,146,146,146,146,146,146,146,146,146,146,146
0.18,146,146,146,146,146,146,146,146,146,146,146,146
0.19,146,146,146,146,146,146,146,146,146,146,146,146
0.2,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
0.21,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
0.22,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
0.23,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
0.24,219,219,219,219,219,219,219,219,219,219,219,219
0.25,219,219,219,219,219,219,219,219,219,219,219,219
0.26,219,219,219,219,219,219,219,219,219,219,219,219
0.27,219,219,219,219,219,219,219,219,219,219,219,219
0.28,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5
0.29,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5
0.3,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5
0.31,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5,255.5
0.32,292,292,292,292,292,292,292,292,292,292,292,292
0.33,292,292,292,292,292,292,292,292,292,292,292,292
0.34,292,292,292,292,292,292,292,292,292,292,292,292
0.35,292,292,292,292,292,292,292,292,292,292,292,292
0.36,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5
0.37,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5
0.38,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5
0.39,365,365,365,365,365,365,365,365,365,365,365,365
0.4,365,365,365,365,365,365,365,365,365,365,365,365
0.41,365,365,365,365,365,365,365,365,365,365,365,365
0.42,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5
0.43,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5
0.44,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5,401.5
0.45,438,438,438,438,438,438,438,438,438,438,438,438
0.46,438,438,438,438,438,438,438,438,438,438,438,438
0.47,438,438,438,438,438,438,438,438,438,438,438,438
0.48,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5
0.49,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5,474.5
0.5,511,511,511,511,511,511,511,511,511,511,511,511
0.51,511,511,511,511,511,511,511,511,511,511,511,511
0.52,511,511,511,511,511,511,511,511,511,511,511,511
0.53,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5
0.54,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5,547.5
0.55,584,584,584,584,584,584,584,584,584,584,584,584
0.56,584,584,584,584,584,584,584,584,584,584,584,584
0.57,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5
0.58,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5
0.59,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5,620.5
0.6,657,657,657,657,657,657,657,657,657,657,657,657
0.61,657,657,657,657,657,657,657,657,657,657,657,657
0.62,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5
0.63,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5,693.5
