,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,40.70498335,40.70498335,40.84495806,40.84495806,40.84495806,40.84495806,40.84495806,40.84495806,29.92166787,29.92166787,29.92166787,29.92166787
0.02,72.37098892,72.37098892,71.90266272,71.90266272,71.90266272,71.90266272,71.90266272,71.90266272,56.63970373,56.63970373,56.63970373,56.63970373
0.03,99.72424764,99.72424764,99.19242818,99.19242818,99.19242818,99.19242818,99.19242818,99.19242818,80.87544566,80.87544566,80.87544566,80.87544566
0.04,124.662155,124.662155,124.3851091,124.3851091,124.3851091,124.3851091,124.3851091,124.3851091,103.6327745,103.6327745,103.6327745,103.6327745
0.05,148.0242947,148.0242947,148.2193815,148.2193815,148.2193815,148.2193815,148.2193815,148.2193815,125.4071763,125.4071763,125.4071763,125.4071763
0.06,170.2725028,170.2725028,171.1030912,171.1030912,171.1030912,171.1030912,171.1030912,171.1030912,146.4872306,146.4872306,146.4872306,146.4872306
0.07,191.6942352,191.6942352,193.2912471,193.2912471,193.2912471,193.2912471,193.2912471,193.2912471,167.0595957,167.0595957,167.0595957,167.0595957
0.08,212.4835124,212.4835124,214.9568055,214.9568055,214.9568055,214.9568055,214.9568055,214.9568055,187.2540167,187.2540167,187.2540167,187.2540167
0.09,232.7790971,232.7790971,236.2240966,236.2240966,236.2240966,236.2240966,236.2240966,236.2240966,207.1655827,207.1655827,207.1655827,207.1655827
0.1,252.6846818,252.6846818,257.1865328,257.1865328,257.1865328,257.1865328,257.1865328,257.1865328,226.8669023,226.8669023,226.8669023,226.8669023
0.11,272.2804884,272.2804884,277.9168048,277.9168048,277.9168048,277.9168048,277.9168048,277.9168048,246.4160616,246.4160616,246.4160616,246.4160616
0.12,291.6393646,291.6393646,298.4730824,298.4730824,298.4730824,298.4730824,298.4730824,298.4730824,265.8650699,265.8650699,265.8650699,265.8650699
0.13,310.8644722,310.8644722,318.8980202,318.8980202,318.8980202,318.8980202,318.8980202,318.8980202,285.2586984,285.2586984,285.2586984,285.2586984
0.14,330.0534899,330.0534899,339.2187032,339.2187032,339.2187032,339.2187032,339.2187032,339.2187032,304.6345561,304.6345561,304.6345561,304.6345561
0.15,349.2887519,349.2887519,359.4580475,359.4580475,359.4580475,359.4580475,359.4580475,359.4580475,324.0248829,324.0248829,324.0248829,324.0248829
0.16,368.6422835,368.6422835,379.6365724,379.6365724,379.6365724,379.6365724,379.6365724,379.6365724,343.4578289,343.4578289,343.4578289,343.4578289
0.17,388.179229,388.179229,399.772862,399.772862,399.772862,399.772862,399.772862,399.772862,362.9583858,362.9583858,362.9583858,362.9583858
0.18,407.960305,407.960305,419.8839213,419.8839213,419.8839213,419.8839213,419.8839213,419.8839213,382.5490817,382.5490817,382.5490817,382.5490817
0.19,428.0436492,428.0436492,439.9854557,439.9854557,439.9854557,439.9854557,439.9854557,439.9854557,402.2505098,402.2505098,402.2505098,402.2505098
