,1_early,1_late,2_early,2_late,3_early,3_late,4_early,4_late,5_early,5_late,6_early,6_late
0.01,27.18263158,27.18263158,44.65186387,44.65186387,44.65186387,44.65186387,44.65186387,44.65186387,72.84674567,72.84674567,72.84674567,72.84674567
0.02,40.08245289,40.08245289,73.7860211,73.7860211,73.7860211,73.7860211,73.7860211,73.7860211,121.6885692,121.6885692,121.6885692,121.6885692
0.03,52.07276685,52.07276685,104.9646976,104.9646976,104.9646976,104.9646976,104.9646976,104.9646976,179.2709454,179.2709454,179.2709454,179.2709454
0.04,64.0391671,64.0391671,140.3286534,140.3286534,140.3286534,140.3286534,140.3286534,140.3286534,254.9180433,254.9180433,254.9180433,254.9180433
0.05,76.35863393,76.35863393,181.7338224,181.7338224,181.7338224,181.7338224,181.7338224,181.7338224,366.6350235,366.6350235,366.6350235,366.6350235
0.06,89.26955386,89.26955386,231.5149747,231.5149747,231.5149747,231.5149747,231.5149747,231.5149747,554.0674888,554.0674888,554.0674888,554.0674888
0.07,102.9639321,102.9639321,293.104286,293.104286,293.104286,293.104286,293.104286,293.104286,917.8548171,917.8548171,917.8548171,917.8548171
0.08,117.6226567,117.6226567,371.874275,371.874275,371.874275,371.874275,371.874275,371.874275,1676.119289,1676.119289,1676.119289,1676.119289
0.09,133.4340168,133.4340168,475.7036968,475.7036968,475.7036968,475.7036968,475.7036968,475.7036968,3004.543965,3004.543965,3004.543965,3004.543965
0.1,150.6068953,150.6068953,617.1411786,617.1411786,617.1411786,617.1411786,617.1411786,617.1411786,4745,4745,4745,4745
0.11,169.3831191,169.3831191,817.5495824,817.5495824,817.5495824,817.5495824,817.5495824,817.5495824,4745,4745,4745,4745
0.12,190.0515431,190.0515431,1115.137489,1115.137489,1115.137489,1115.137489,1115.137489,1115.137489,4745,4745,4745,4745
0.13,212.9661846,212.9661846,1580.717311,1580.717311,1580.717311,1580.717311,1580.717311,1580.717311,4745,4745,4745,4745
0.14,238.5713835,238.5713835,2343.14905,2343.14905,2343.14905,2343.14905,2343.14905,2343.14905,4745,4745,4745,4745
0.15,267.4386243,267.4386243,3600.818407,3600.818407,3600.818407,3600.818407,3600.818407,3600.818407,4745,4745,4745,4745
0.16,300.2960557,300.2960557,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.17,338.0033208,338.0033208,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.18,381.6417418,381.6417418,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.19,432.6129557,432.6129557,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.2,492.760903,492.760903,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.21,564.5498933,564.5498933,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.22,651.3283846,651.3283846,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.23,757.7245264,757.7245264,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.24,890.2432627,890.2432627,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.25,1058.163652,1058.163652,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.26,1274.851053,1274.851053,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.27,1559.534825,1559.534825,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.28,1939.275517,1939.275517,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.29,2449.937548,2449.937548,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.3,3133.524266,3133.524266,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.31,4029.207881,4029.207881,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.32,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.33,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.34,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.35,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.36,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.37,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.38,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
0.39,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745,4745
